symbol,total_return,final_value
NVDA,548.6563109598402,648656.3109598402
TSLA,232.15206429188018,332152.0642918802
AAPL,183.42606598424015,283426.06598424015
GOOGL,149.0097781754502,249009.7781754502
MSFT,113.37789491432014,213377.89491432015
AMZN,46.04016561535011,146040.16561535012
META,34.396290603900034,134396.29060390004
