symbol,buy_threshold,and_threshold,or_threshold,test_buy_2026,train_return,test_return_2025,total_return
NVDA,0,20,50,0.0,762.16906364372,35.88255232898065,548.6563109598402
TSLA,-30,25,55,-24.0,270.16477150556005,81.76238588247166,232.15206429188018
AAPL,0,10,25,0.0,107.09168970895013,21.215785820093913,183.42606598424015
GOOGL,5,15,25,4.0,55.58092380180004,18.506215072897557,149.0097781754502
MSFT,5,10,25,4.0,65.91817550696011,11.869193377240927,113.37789491432014
AMZN,-25,15,25,-20.0,83.73554067022002,4.063636206219479,46.04016561535011
META,-30,25,45,-24.0,165.43763724848998,8.39202440865483,34.396290603900034
