symbol,smoothing,avg_score,profitable_rate,avg_return,avg_sharpe,avg_drawdown,num_windows,profitable_windows,latest_buy,latest_and,latest_or,grade,weight_by_score
MSFT,s3,88.75,1.0,23.983884104999994,1.6300898415785472,-8.628172778620957,4,4,-5,15,40,A,0.2589350838803793
GOOGL,s5,75.5,0.75,15.839050740000005,1.231562113248961,-7.771295325310649,4,3,-5,10,40,B,0.22027716994894236
NVDA,s3,69.0,0.75,20.76678927499999,0.9355813446052985,-21.05852748827964,4,3,5,10,50,C,0.2013129102844639
TSLA,s5,60.25,0.75,56.64765443,1.0626778507543149,-22.99455531918912,4,3,-15,10,35,C,0.17578409919766594
AAPL,s3,49.25,0.5,2.7081667099999978,0.2763293046096352,-3.1204307797834048,4,2,-10,25,50,C,0.1436907366885485
