symbol,buy,and,or,total_return,max_drawdown,sharpe_ratio,final_value
AMZN,-10,15,35,10.858248399999997,-42.958295393604836,0.211641580126616,110858.2484
AMZN,-10,15,40,10.858248399999997,-42.958295393604836,0.211641580126616,110858.2484
AMZN,-10,15,45,10.858248399999997,-42.958295393604836,0.211641580126616,110858.2484
AMZN,-10,15,50,10.858248399999997,-42.958295393604836,0.211641580126616,110858.2484
AMZN,-10,20,35,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,20,40,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,20,45,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,20,50,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,25,35,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,25,40,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,25,45,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,25,50,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,30,35,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,30,40,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,30,45,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-10,30,50,26.77250274000001,-42.958295393604836,0.32157176224851286,126772.50274000001
AMZN,-5,15,35,46.41766635999998,-46.30782679776858,0.42713044754287305,146417.66635999997
AMZN,-5,15,40,46.41766635999998,-46.30782679776858,0.42713044754287305,146417.66635999997
AMZN,-5,15,45,46.41766635999998,-46.30782679776858,0.42713044754287305,146417.66635999997
AMZN,-5,15,50,46.41766635999998,-46.30782679776858,0.42713044754287305,146417.66635999997
AMZN,-5,20,35,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,20,40,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,20,45,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,20,50,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,25,35,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,25,40,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,25,45,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,25,50,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,30,35,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,30,40,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,30,45,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,-5,30,50,36.3459711,-46.30782679776858,0.3744484642480846,136345.9711
AMZN,0,15,35,47.722103399999995,-46.45865939073308,0.4332801813713396,147722.1034
AMZN,0,15,40,47.722103399999995,-46.45865939073308,0.4332801813713396,147722.1034
AMZN,0,15,45,47.722103399999995,-46.45865939073308,0.4332801813713396,147722.1034
