window,buy,and,or,train_sharpe,train_return
Window1,-20.0,20.0,90.0,1.7574716216985586,294.55948976
Window2,20.0,20.0,80.0,1.9774363329419717,2208.2191678599993
Window3,20.0,20.0,80.0,1.584721389471508,1071.2756833199999
Window4,20.0,20.0,70.0,1.456558223073692,829.0221063399995
Window5,-10.0,25.0,60.0,0.9922518210159668,273.22333167999994
