symbol,return_s3,return_s5,return_diff,sharpe_s3,sharpe_s5,sharpe_diff,trades_s3,trades_s5,win_rate_s3,win_rate_s5
NVDA,196.56285618,831.01891946,-634.45606328,0.8660860116724144,1.3183937722499417,-0.4523077605775273,5,4,80.0,100.0
TSLA,90.48186159999995,217.45956480000004,-126.9777032000001,0.5361888621129006,0.7673668860906638,-0.23117802397776321,3,3,33.33333333333333,66.66666666666666
GOOGL,99.83465808000003,138.75831199999996,-38.923653919999936,0.7113234389841271,0.8470531181458425,-0.1357296791617154,1,0,100.0,0.0
AAPL,92.38941390000002,92.38941390000002,0.0,0.7069362017631298,0.7069362017631298,0.0,0,0,0.0,0.0
MSFT,81.8965589,81.8965589,0.0,0.6914255944111022,0.6914255944111022,0.0,0,0,0.0,0.0
AMZN,38.93693688,38.93693688,0.0,0.38865390451370224,0.38865390451370224,0.0,0,0,0.0,0.0
META,49.665906619999994,60.096154020000014,-10.43024740000002,0.4277094573594289,0.46664456896497725,-0.038935111605548356,2,1,50.0,0.0
