window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2017-2020,2021,1.142015304616084,348.24140112000003,96.31984220000001,2.4369900614784976,-15.417862951683231,1.0,1,True,0.0,25.0,60.0
Window2,2018-2021,2022,1.1592717398487604,311.1981376,-21.500388239999985,-0.45756048521569803,-35.94646442598887,0.0,1,False,-15.0,30.0,40.0
Window3,2019-2022,2023,0.9600440697484383,224.54166470000004,9.59069856000002,0.8782353182462554,-11.411912505051095,1.0,1,True,5.0,10.0,50.0
Window4,2020-2023,2024,1.3099966209900231,451.11632309999993,26.891493120000014,1.178105624154769,-12.457271465145368,1.0,3,True,5.0,10.0,45.0
Window5,2021-2024,2025,1.354273746549601,457.69545944000004,44.26074598,1.514710110711408,-17.88000212867747,1.0,1,True,-15.0,30.0,50.0
