window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2012-2015,2016,1.3760239360214148,209.75777407999993,-2.1053060799999948,-0.23694848985143335,-7.01795613540758,0.0,1,False,-5.0,15.0,70.0
Window2,2013-2016,2017,1.1970862214925122,172.69762704000001,17.359476479999984,1.4471850961068244,-4.920439051954628,1.0,1,True,0.0,15.0,40.0
Window3,2014-2017,2018,1.31920200695502,208.45006668000002,6.886847539999988,1.005114036195584,-2.095170660000003,1.0,1,True,-15.0,30.0,60.0
Window4,2015-2018,2019,1.3356261056911458,241.5380682,0.9325141000000003,0.1677563853130418,-12.724600339209418,1.0,1,True,5.0,30.0,50.0
Window5,2016-2019,2020,1.1858235388413374,136.02908491999997,65.59681979999999,2.2904212738591285,-12.76640084558625,1.0,3,True,10.0,10.0,40.0
