symbol,buy,and,or,total_return,max_drawdown,sharpe_ratio,final_value
TSLA,-10,15,40,102.54556442000006,-61.31626851931379,0.5785387205446278,202545.56442000007
TSLA,-10,15,50,121.01582306,-61.341849416091776,0.6253354897660985,221015.82306
TSLA,-10,15,60,78.93516976,-61.35721136022247,0.5066110916967925,178935.16976
TSLA,-10,15,70,78.93516976,-61.35721136022247,0.5066110916967925,178935.16976
TSLA,-10,20,40,186.1875333400001,-61.31626851931379,0.7522496450044404,286187.5333400001
TSLA,-10,20,50,212.372132,-61.341849416091776,0.796233044505491,312372.132
TSLA,-10,20,60,173.18631454000004,-61.31951506479463,0.7171609006587661,273186.31454000005
TSLA,-10,20,70,173.18631454000004,-61.31951506479463,0.7171609006587661,273186.31454000005
TSLA,-10,25,40,398.07351424,-61.31626851931379,1.00327552400387,498073.51424000005
TSLA,-10,25,50,464.0282118400001,-61.341849416091776,1.0607446094534423,564028.2118400001
TSLA,-10,25,60,440.3428123800001,-61.31951506479463,1.0233451842933186,540342.8123800001
TSLA,-10,25,70,457.97478444000006,-61.31951506479463,1.0383223023877766,557974.7844400001
TSLA,-10,30,40,330.47093932000007,-61.31626851931379,0.930813877789843,430470.93932000006
TSLA,-10,30,50,387.0771047400001,-61.341849416091776,0.9881797211886016,487077.1047400001
TSLA,-10,30,60,261.28757216,-65.40204389437517,0.8061400962394188,361287.57216
TSLA,-10,30,70,273.01162830000004,-65.40204389437517,0.8202204522869426,373011.62830000004
TSLA,-5,15,40,73.29549657999998,-61.36584326487937,0.49129011448936744,173295.49657999998
TSLA,-5,15,50,89.08684028000003,-61.375670676968355,0.5378442431646563,189086.84028000003
TSLA,-5,15,60,53.21508265999996,-61.40557337290412,0.42343881324270305,153215.08265999996
TSLA,-5,15,70,53.21508265999996,-61.40557337290412,0.42343881324270305,153215.08265999996
TSLA,-5,20,40,143.01773310000002,-61.36584326487937,0.6636461510189138,243017.7331
TSLA,-5,20,50,165.14414128000004,-61.375670676968355,0.7073945379923611,265144.14128000004
TSLA,-5,20,60,131.94652722,-61.42440225668812,0.631948651804601,231946.52722
TSLA,-5,20,70,131.94652722,-61.42440225668812,0.631948651804601,231946.52722
TSLA,-5,25,40,322.85904618,-61.36584326487937,0.9180112261510158,422859.04618
TSLA,-5,25,50,378.55102442000003,-61.375670676968355,0.9753599716190778,478551.02442000003
TSLA,-5,25,60,358.93927457999996,-61.42440225668812,0.9409159631097933,458939.27457999997
TSLA,-5,25,70,373.89614944000004,-61.42440225668812,0.9557931882501558,473896.14944000007
TSLA,-5,30,40,265.11891198,-61.36584326487937,0.8458943659873711,365118.91198000003
TSLA,-5,30,50,313.02482332,-61.375670676968355,0.9032456714067671,413024.82331999997
TSLA,-5,30,60,205.37023838000002,-65.19468614856856,0.7322403014710258,305370.23838
TSLA,-5,30,70,215.26866952000003,-65.19468614856856,0.7463693706826017,315268.66952000005
TSLA,0,15,40,43.07710963999998,-60.427305868690176,0.38689175071483106,143077.10963999998
TSLA,0,15,50,55.97093501999994,-60.447611310215834,0.4333641164378245,155970.93501999995
TSLA,0,15,60,26.623162359999984,-60.47585307538972,0.3228459964824631,126623.16235999999
TSLA,0,15,70,26.623162359999984,-60.47585307538972,0.3228459964824631,126623.16235999999
TSLA,0,20,40,99.79044547999999,-60.427305868690176,0.5612474619274951,199790.44548
TSLA,0,20,50,117.86810236000002,-60.447611310215834,0.6051192999243439,217868.10236000002
TSLA,0,20,60,90.90451024000004,-60.44432341413029,0.5336980110442402,190904.51024000003
TSLA,0,20,70,90.90451024000004,-60.44432341413029,0.5336980110442402,190904.51024000003
TSLA,0,25,40,247.61008001999997,-60.427305868690176,0.8211682713546617,347610.08002
TSLA,0,25,50,293.26162575999996,-60.447611310215834,0.8785789126592743,393261.62575999997
TSLA,0,25,60,277.42681985999997,-60.44432341413029,0.8477997104421079,377426.81986
TSLA,0,25,70,289.78772705999995,-60.44432341413029,0.86272432958693,389787.72705999995
TSLA,0,30,40,197.97079581999998,-60.427305868690176,0.7481438789602511,297970.79582
TSLA,0,30,50,236.76331188000006,-60.447611310215834,0.8057247175274923,336763.31188000005
TSLA,0,30,60,171.70519414000003,-64.6718899049684,0.6820564298367137,271705.19414000004
TSLA,0,30,70,180.51545728,-64.6718899049684,0.6963014134108664,280515.45728
TSLA,5,15,40,36.55848659999997,-60.66227149043479,0.3616891001011678,136558.48659999997
TSLA,5,15,50,48.88255721999996,-60.632264264424705,0.40825156806770607,148882.55721999996
TSLA,5,15,60,20.891420719999996,-60.66687964055707,0.2986476821714137,120891.42072
TSLA,5,15,70,20.891420719999996,-60.66687964055707,0.2986476821714137,120891.42072
TSLA,5,20,40,90.48186159999995,-60.66227149043479,0.5361888621129006,190481.86159999995
TSLA,5,20,50,107.67678099999995,-60.632264264424705,0.5800953651489177,207676.78099999996
TSLA,5,20,60,82.06351293999998,-60.59506160114088,0.5097629061725215,182063.51294
TSLA,5,20,70,82.06351293999998,-60.59506160114088,0.5097629061725215,182063.51294
TSLA,5,25,40,230.24411255999996,-60.66227149043479,0.7958282007527466,330244.11256
TSLA,5,25,50,273.60186267999995,-60.632264264424705,0.8535012748583726,373601.86267999996
TSLA,5,25,60,258.55672758,-60.59506160114088,0.8235037355563439,358556.72757999995
TSLA,5,25,70,270.15464357999997,-60.59506160114088,0.8383359228456646,370154.64358
TSLA,5,30,40,193.22085560000002,-60.66227149043479,0.738769429114233,293220.8556
TSLA,5,30,50,231.08744230000005,-60.632264264424705,0.796223356988277,331087.44230000005
