symbol,best_by_sharpe_buy,best_by_sharpe_and,best_by_sharpe_or,sharpe,return,best_by_return_buy,best_by_return_and,best_by_return_or,return2,sharpe2
NVDA,10,20,50,1.339242901486038,968.2714760599998,10,30,50,1038.07219294,1.309232640032815
TSLA,-10,20,35,1.0168114255260596,421.42522816,-10,20,35,421.42522816,1.0168114255260596
GOOGL,10,30,50,0.9002884096616528,159.30932492,10,30,50,159.30932492,0.9002884096616528
AAPL,-5,25,35,0.7151016158238679,93.20946492000003,-5,25,35,93.20946492000003,0.7151016158238679
MSFT,10,30,50,0.6914255944111022,81.8965589,10,30,50,81.8965589,0.6914255944111022
AMZN,5,15,35,0.43903650586591836,48.88583903999999,5,15,35,48.88583903999999,0.43903650586591836
META,-10,15,45,0.6505126016898823,105.90214380000005,10,30,50,107.99540910000005,0.6223637521228642
