window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2012-2015,2016,1.4011163645154803,403.09188150000017,10.09441997999999,0.7092883047708242,-18.80408593017196,1.0,2,True,-5.0,10.0,70.0
Window2,2013-2016,2017,1.3422044859498046,356.99602366,-6.475629259999987,-0.3691194384412975,-18.120585105031974,0.5,2,False,5.0,10.0,70.0
Window3,2014-2017,2018,1.1343558837235632,142.75094751999998,25.05233628000002,0.8105297570013071,-29.132749584666623,1.0,1,True,-15.0,15.0,40.0
Window4,2015-2018,2019,1.0001230389099676,126.35406366000001,-11.04261004,-0.3283761908680785,-31.43717297111614,0.0,1,False,-15.0,10.0,40.0
Window5,2016-2019,2020,0.9587685643858632,165.98904484000005,0.0,0.0,0.0,0.0,0,False,-15.0,15.0,50.0
