window,train_period,test_year,buy,and,or,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,profit_loss_ratio,is_profitable
Window1,2017-2020,2021,-20.0,20.0,90.0,1.7574716216985586,294.55948976,0.0,0.0,0.0,0.0,0,0.0,False
Window2,2018-2021,2022,20.0,20.0,80.0,1.9774363329419717,2208.2191678599993,-42.990690900000025,-1.0679886259783906,-61.266124613015926,0.0,5,0.0,False
Window3,2019-2022,2023,20.0,20.0,80.0,1.584721389471508,1071.2756833199999,32.08320147999999,1.1161868852072343,-26.665799640353104,66.66666666666666,3,1.8204190150100064,True
Window4,2020-2023,2024,20.0,20.0,70.0,1.456558223073692,829.0221063399995,102.46966586000002,1.8474627972573747,-23.844984009148483,66.66666666666666,3,4.039790605292877,True
Window5,2021-2024,2025,-10.0,25.0,60.0,0.9922518210159668,273.22333167999994,70.46207090000001,1.561674597145738,-19.037145379613047,100.0,1,88.19575252251687,True
