window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2012-2015,2016,0.846224574527557,23.500095779999988,0.0,0.0,0.0,0.0,0,False,-15.0,10.0,35.0
Window2,2013-2016,2017,0.9718078662243613,93.48952954000002,19.717214720000005,2.0065720675031606,-4.4062060721073255,1.0,2,True,5.0,10.0,35.0
Window3,2014-2017,2018,1.2037238596734434,79.5698715,0.48035181999999627,0.5830394917823439,-0.6243959325419912,1.0,1,True,-15.0,25.0,50.0
Window4,2015-2018,2019,1.1302385228460836,109.47002135999999,0.0,0.0,0.0,0.0,0,False,-15.0,30.0,45.0
Window5,2016-2019,2020,1.5405055606586722,171.07099129999997,31.53940499999997,1.2294282915489823,-11.770590009023785,1.0,1,True,0.0,20.0,60.0
