window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2017-2020,2021,1.7905514279297674,1028.66021068,0.0,0.0,0.0,0.0,0,False,-15.0,10.0,60.0
Window2,2018-2021,2022,1.916027302044986,1253.82023104,-43.180486080000016,-1.1401564235689423,-60.66431745672523,0.0,1,False,-15.0,10.0,60.0
Window3,2019-2022,2023,1.5430557237307803,775.0491669400001,16.222869760000002,1.2738646413581654,-4.456776665930469,1.0,1,True,-10.0,20.0,60.0
Window4,2020-2023,2024,1.3461879110627883,466.30256688000003,128.19787085999997,2.1819229260364548,-23.511926259087545,1.0,1,True,-10.0,20.0,35.0
Window5,2021-2024,2025,0.8519110987381776,175.40344682000003,70.46207090000001,1.569970307796532,-19.03714537961305,1.0,1,True,-10.0,25.0,35.0
