window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2012-2015,2016,0.9686754349445795,85.79522568,0.0,0.0,0.0,0.0,0,False,-15.0,25.0,60.0
Window2,2013-2016,2017,1.0591763694098464,105.65295114000001,23.786515039999998,2.2600396197696835,-4.034160271480175,1.0,2,True,5.0,10.0,40.0
Window3,2014-2017,2018,1.1499043344437725,102.21007672000005,10.132181919999988,0.6457205046691542,-15.550978187980618,1.0,1,True,5.0,10.0,70.0
Window4,2015-2018,2019,1.1466093841792429,117.42568947999996,13.009222199999975,1.7431977063267634,-3.1819581552832292,1.0,2,True,5.0,10.0,50.0
Window5,2016-2019,2020,1.6009147866002709,179.39755552,49.007617259999996,1.871401535548587,-11.745594499739802,1.0,1,True,-5.0,15.0,40.0
