symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,exit_reason,holding_days
MSFT,2018-12-20 00:00:00+00:00,2020-12-31 00:00:00+00:00,101.71302,221.97516,176,21166.13664,118.23672131650402,EOD,742
GOOGL,2018-02-07 00:00:00+00:00,2019-05-01 00:00:00+00:00,52.87554,58.55266,236,1339.8003200000003,10.736760324339006,AND,448
GOOGL,2019-06-05 00:00:00+00:00,2020-02-24 00:00:00+00:00,52.33446,70.84801999999999,251,4646.903559999999,35.3754677128607,AND,264
GOOGL,2020-02-28 00:00:00+00:00,2020-09-08 00:00:00+00:00,67.09392,76.02764,230,2054.7556000000022,13.315245256202065,AND,193
NVDA,2018-03-27 00:00:00+00:00,2019-05-07 00:00:00+00:00,5.65128,4.32134,1415,-1881.8651,-23.533429594711286,AND,406
NVDA,2019-05-17 00:00:00+00:00,2020-03-09 00:00:00+00:00,3.9178200000000003,6.12772,1849,4086.105099999998,56.406368847981746,AND,297
NVDA,2020-03-16 00:00:00+00:00,2020-04-01 00:00:00+00:00,4.9198200000000005,6.06784,1805,2072.1760999999988,23.334593542040142,AND,16
TSLA,2018-02-06 00:00:00+00:00,2019-01-18 00:00:00+00:00,22.30452,20.1097,269,-590.4065800000008,-9.840247626938408,AND,346
TSLA,2019-05-28 00:00:00+00:00,2019-12-27 00:00:00+00:00,12.60516,28.632620000000003,457,7324.549220000001,127.14999254273648,OR,213
TSLA,2020-03-17 00:00:00+00:00,2020-07-09 00:00:00+00:00,28.73736,92.7641,302,19336.07548,222.79965870212158,OR,114
AAPL,2018-03-28 00:00:00+00:00,2020-12-31 00:00:00+00:00,41.70324,132.42462,71,6441.21798,217.54036377029698,EOD,1009
