window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2017-2020,2021,1.2228233851177588,177.39682197999994,32.649749899999996,2.2582484284741393,-7.1270763648169355,1.0,1,True,10.0,10.0,40.0
Window2,2018-2021,2022,1.3499321947904428,204.64707679999998,-12.981936960000006,-0.5174258247847973,-21.64348771763374,0.0,1,False,-10.0,25.0,40.0
Window3,2019-2022,2023,0.7304182603039006,86.66674128000001,32.79511200000002,1.96765756546198,-11.092826017570975,1.0,1,True,10.0,30.0,70.0
Window4,2020-2023,2024,0.9817407006902498,117.18755655999999,4.1477519999999934,0.4200434567110248,-12.756284879392945,1.0,1,True,0.0,10.0,40.0
Window5,2021-2024,2025,0.8393900606595983,77.19690077999996,17.5380683,1.2341477727404762,-11.108534635688356,0.5,2,True,0.0,10.0,40.0
