date,total_value,returns
2018-05-09 00:00:00+00:00,101285.39544000002,0.006507667500856629
2018-05-10 00:00:00+00:00,101647.16544,0.003571788394845843
2018-05-11 00:00:00+00:00,101329.96544,-0.0031205985786906254
2018-05-14 00:00:00+00:00,101224.12544,-0.0010445083992717263
2018-05-15 00:00:00+00:00,100459.56544000002,-0.0075531400906315715
2018-05-16 00:00:00+00:00,100535.86544000001,0.0007595095565644527
2018-05-17 00:00:00+00:00,100503.15544,-0.0003253565268160896
2018-05-18 00:00:00+00:00,100157.72544,-0.0034370065147479867
2018-05-21 00:00:00+00:00,100434.35544,0.002761943712127568
2018-05-22 00:00:00+00:00,100095.59544,-0.0033729494107459512
2018-05-23 00:00:00+00:00,100484.40544,0.0038843867034394908
2018-05-24 00:00:00+00:00,100452.25544000001,-0.0003199501440966923
2018-05-25 00:00:00+00:00,100518.97544,0.0006641961368387683
2018-05-29 00:00:00+00:00,100378.57543999999,-0.001396751204291946
2018-05-30 00:00:00+00:00,100780.61544,0.004005237155814356
2018-05-31 00:00:00+00:00,100881.20543999999,0.0009981086100816494
2018-06-01 00:00:00+00:00,101678.37544,0.00790206655960457
2018-06-04 00:00:00+00:00,102262.64544,0.005746256246440096
2018-06-05 00:00:00+00:00,102179.93543999999,-0.0008087997297950844
2018-06-06 00:00:00+00:00,102653.21544,0.004631829115589126
2018-06-07 00:00:00+00:00,102348.53543999999,-0.0029680512071060816
2018-06-08 00:00:00+00:00,102313.85543999998,-0.00033884217151636253
2018-06-11 00:00:00+00:00,102603.73544,0.0028332428560471357
2018-06-12 00:00:00+00:00,102954.74544,0.0034210255454614202
2018-06-13 00:00:00+00:00,102917.51543999999,-0.00036161519161548306
2018-06-14 00:00:00+00:00,103494.72544000001,0.005608471964488215
2018-06-15 00:00:00+00:00,103399.60544,-0.0009190806545513741
2018-06-18 00:00:00+00:00,103912.06543999999,0.004956111755159087
2018-06-19 00:00:00+00:00,103286.26544,-0.006022399779564869
2018-06-20 00:00:00+00:00,103624.64544,0.0032761374279386413
2018-06-21 00:00:00+00:00,102986.33544,-0.0061598280726526955
2018-06-22 00:00:00+00:00,102497.46544,-0.00474694043546009
2018-06-25 00:00:00+00:00,101673.36544000001,-0.008040198813329735
2018-06-26 00:00:00+00:00,101896.40544,0.002193691524174257
2018-06-27 00:00:00+00:00,101526.68544000002,-0.003628390995771613
2018-06-28 00:00:00+00:00,101947.25544000001,0.004142457701414193
2018-06-29 00:00:00+00:00,101700.54544,-0.0024199768687760415
2018-07-02 00:00:00+00:00,101949.08543999998,0.00244384136707132
2018-07-03 00:00:00+00:00,100950.18543999999,-0.009798028061643316
2018-07-05 00:00:00+00:00,101454.11544,0.004991867997107491
2018-07-06 00:00:00+00:00,101812.66544000001,0.0035341099613850346
2018-07-09 00:00:00+00:00,102246.39544,0.004260079019889673
2018-07-10 00:00:00+00:00,102456.26543999999,0.002052590696198786
2018-07-11 00:00:00+00:00,102199.14544000001,-0.0025095585799050912
2018-07-12 00:00:00+00:00,102693.87544,0.004840842825740044
2018-07-13 00:00:00+00:00,102706.20544,0.00012006558275423629
2018-07-16 00:00:00+00:00,102420.05543999998,-0.002786102346729047
2018-07-17 00:00:00+00:00,103032.71544,0.005981836246504724
2018-07-18 00:00:00+00:00,102965.02544,-0.0006569757936684129
2018-07-19 00:00:00+00:00,102778.04544,-0.0018159564298748654
2018-07-20 00:00:00+00:00,102592.90543999999,-0.0018013574709211388
2018-07-23 00:00:00+00:00,102520.75544000001,-0.0007032650034672905
2018-07-24 00:00:00+00:00,102972.04543999999,0.004401937910651688
2018-07-25 00:00:00+00:00,103529.69544,0.005415547468414106
2018-07-26 00:00:00+00:00,103693.00544,0.0015774218141562102
2018-07-27 00:00:00+00:00,102980.64544,-0.006869894425156731
2018-07-30 00:00:00+00:00,102283.00544,-0.0067744768642615805
2018-07-31 00:00:00+00:00,102429.91544,0.0014363089876761048
2018-08-01 00:00:00+00:00,102802.88544,0.0036412213990206777
2018-08-02 00:00:00+00:00,104031.22544,0.011948497308637451
2018-08-03 00:00:00+00:00,104024.71544,-6.25773653291084e-05
2018-08-06 00:00:00+00:00,103997.26543999999,-0.0002638795971121599
2018-08-07 00:00:00+00:00,104948.78543999999,0.009149471344022775
2018-08-08 00:00:00+00:00,104909.50544000001,-0.00037427779497689606
2018-08-09 00:00:00+00:00,104583.15544,-0.0031107762698076025
2018-08-10 00:00:00+00:00,104416.97544000001,-0.0015889748143556037
2018-08-13 00:00:00+00:00,104452.50544000001,0.0003402703425403608
2018-08-14 00:00:00+00:00,104623.48544,0.001636916216415818
2018-08-15 00:00:00+00:00,104078.90544,-0.005205141060917073
2018-08-16 00:00:00+00:00,103921.03544,-0.0015168299410200925
2018-08-17 00:00:00+00:00,102912.13544,-0.009708332829136523
2018-08-20 00:00:00+00:00,103111.97544,0.001941850678208068
2018-08-21 00:00:00+00:00,103475.93544,0.0035297548945882884
2018-08-22 00:00:00+00:00,103862.07544,0.0037316889029130884
2018-08-23 00:00:00+00:00,103977.40543999999,0.0011104149374197014
2018-08-24 00:00:00+00:00,104420.07544000002,0.004257367243650556
2018-08-27 00:00:00+00:00,104743.73543999999,0.0030995955388477547
2018-08-28 00:00:00+00:00,104463.84543999998,-0.0026721407139460585
2018-08-29 00:00:00+00:00,104761.66543999998,0.002850938511267609
2018-08-30 00:00:00+00:00,104631.08544000001,-0.0012464483019770656
2018-08-31 00:00:00+00:00,104482.70543999999,-0.0014181254010320332
2018-09-04 00:00:00+00:00,104125.16544000001,-0.0034220017417647686
2018-09-05 00:00:00+00:00,103625.72544,-0.0047965349960266135
2018-09-06 00:00:00+00:00,103184.21543999999,-0.0042606215601901365
2018-09-07 00:00:00+00:00,102731.02544,-0.004392047737800664
2018-09-10 00:00:00+00:00,103144.26544,0.004022543318633165
2018-09-11 00:00:00+00:00,103240.89544,0.0009368431641620933
2018-09-12 00:00:00+00:00,103018.19543999998,-0.0021570909381489756
2018-09-13 00:00:00+00:00,103317.92543999999,0.002909486025452379
2018-09-14 00:00:00+00:00,103509.09543999999,0.0018503081550065303
2018-09-17 00:00:00+00:00,103098.26544,-0.00396902318828718
2018-09-18 00:00:00+00:00,102915.38544,-0.0017738416763803944
2018-09-19 00:00:00+00:00,103278.58544,0.00352911276042156
2018-09-20 00:00:00+00:00,103304.86544,0.0002544573968363828
2018-09-21 00:00:00+00:00,102948.45543999999,-0.003450079514473625
2018-09-24 00:00:00+00:00,103172.66544,0.0021778860017058754
2018-09-25 00:00:00+00:00,103488.33544,0.0030596282324757418
2018-09-26 00:00:00+00:00,103556.18544,0.000655629445690975
2018-09-27 00:00:00+00:00,103785.17544,0.002211263373858907
2018-09-28 00:00:00+00:00,103509.10544,-0.002660013810542816
2018-10-01 00:00:00+00:00,104661.10544,0.01112945566578949
2018-10-02 00:00:00+00:00,104413.59543999999,-0.002364870874996594
2018-10-03 00:00:00+00:00,104411.66543999998,-1.8484182944478178e-05
2018-10-04 00:00:00+00:00,103430.77544,-0.009394448368067132
2018-10-05 00:00:00+00:00,102572.96544,-0.008293566362147287
2018-10-08 00:00:00+00:00,102064.40544,-0.004958031561420384
2018-10-09 00:00:00+00:00,102212.92544,0.001455159605934453
2018-10-10 00:00:00+00:00,100588.38543999998,-0.015893684609914027
2018-10-11 00:00:00+00:00,100086.49544000001,-0.00498954225982029
2018-10-12 00:00:00+00:00,101086.32544,0.009989659400147177
2018-10-15 00:00:00+00:00,100407.01543999999,-0.00672009786727501
2018-10-16 00:00:00+00:00,101539.31544,0.0112771004599439
2018-10-17 00:00:00+00:00,101273.42543999999,-0.002618591614960475
2018-10-18 00:00:00+00:00,100562.63544,-0.007018524325723585
2018-10-19 00:00:00+00:00,100267.97544,-0.0029301141394192376
2018-10-22 00:00:00+00:00,100454.14543999998,0.0018567244345268907
2018-10-23 00:00:00+00:00,100774.28544,0.003186926717636096
2018-10-24 00:00:00+00:00,99090.31543999998,-0.016710314468095677
2018-10-25 00:00:00+00:00,100492.20544,0.014147598519341553
2018-10-26 00:00:00+00:00,100145.02544,-0.003454795309545622
2018-10-29 00:00:00+00:00,99111.54544,-0.010319833615891283
2018-10-30 00:00:00+00:00,99839.18544,0.007341627020037711
2018-10-31 00:00:00+00:00,100825.02544,0.009874279278775377
2018-11-01 00:00:00+00:00,101208.82544,0.003806594625938464
2018-11-02 00:00:00+00:00,100699.01544,-0.005037208936904736
2018-11-05 00:00:00+00:00,100208.59544,-0.004870156851654706
2018-11-06 00:00:00+00:00,100390.24544,0.0018127187513445886
2018-11-07 00:00:00+00:00,101167.10544,0.007738401242024073
2018-11-08 00:00:00+00:00,100770.68543999999,-0.0039184673543429804
2018-11-09 00:00:00+00:00,100461.71543999999,-0.0030660702430566067
2018-11-12 00:00:00+00:00,99042.53544000002,-0.014126575420141618
2018-11-13 00:00:00+00:00,99463.34544,0.00424878056817235
2018-11-14 00:00:00+00:00,99468.06544,4.7454667637891745e-05
2018-11-15 00:00:00+00:00,100007.88544,0.005427068452694694
2018-11-16 00:00:00+00:00,98773.13544,-0.012346526422066906
