window,train_period,test_period,train_sharpe,train_return,test_return,test_sharpe,test_max_dd,test_win_rate,test_trades,is_profitable,buy,and,or
Window1,2012-2015,2016,1.0423126974035983,97.22500530000002,4.117233900000007,0.4586644689334322,-10.903982244025633,1.0,1,True,5.0,10.0,70.0
Window2,2013-2016,2017,0.9452418746629055,82.67343218,0.0,0.0,0.0,0.0,0,False,-10.0,10.0,70.0
Window3,2014-2017,2018,0.940436192017876,74.71054886000003,-1.2385322000000014,-0.030105952143048315,-9.539740723596548,0.0,1,False,-10.0,10.0,60.0
Window4,2015-2018,2019,0.912934191172722,80.32204479999997,21.21207868000001,1.7001154215084002,-6.067450055099539,1.0,1,True,-5.0,15.0,40.0
Window5,2016-2019,2020,1.1326702760731049,91.31595665999997,50.14179071999999,1.943459122761794,-15.505905165550555,1.0,1,True,-5.0,15.0,50.0
