symbol,total_trades,win_trades,loss_trades,win_rate,avg_profit,avg_loss,total_return
NVDA,15,11,4,73.33333333333333,32.76078370585349,-20.342909151379683,424.49771159999995
TSLA,10,6,4,60.0,40.255557663946924,-21.605539265295967,113.65731132
AAPL,6,5,1,83.33333333333334,25.755913720435423,-2.7020366879449176,147.37034563999998
META,13,8,5,61.53846153846154,23.93466902359622,-17.957465937157053,71.85013236000005
