symbol,train_buy,train_and,train_or,test_buy_2026,test_and_2026,test_or_2026,train_return,test_return_2025,total_return
NVDA,5,25,60,10,22,55,582.1631426705902,21.097230710967164,832.3586714549108
TSLA,-10,25,50,-5,22,45,211.10746614434012,70.76790278053278,268.01914295248014
AAPL,0,5,25,5,2,20,120.48328305071033,2.837330055248466,191.79255441592025
MSFT,0,10,30,5,7,25,77.49440954381012,9.938747797790558,127.93609871823017
GOOGL,-15,15,25,-10,12,20,61.67693720371006,5.240853914300225,88.71728235263019
AMZN,-25,20,30,-20,17,25,82.81816115047998,3.9351941434579985,27.663626265300234
META,-30,25,55,-25,22,50,173.64668102036998,8.465720712555868,9.927984332790585
