symbol,buy_threshold,and_threshold,or_threshold,train_return,test_return_2025,total_return
NVDA,5,25,60,582.1631426705902,36.657613679089906,768.1308597100303
TSLA,-10,25,50,211.10746614434012,70.85361650100201,292.7171110990001
AAPL,0,5,25,120.48328305071033,21.204769058158202,241.10249384724008
MSFT,0,10,30,77.49440954381012,11.647351438404474,161.4494583908502
GOOGL,-15,15,25,61.67693720371006,17.607339074268346,136.36846163789014
AMZN,-25,20,30,82.81816115047998,3.959795524389942,36.91897025474016
META,-30,25,55,173.64668102036998,8.500248473043804,14.176579738430117
