symbol,total_return,final_value
NVDA,768.1308597100303,868130.8597100303
TSLA,292.7171110990001,392717.1110990001
AAPL,241.10249384724008,341102.4938472401
MSFT,161.4494583908502,261449.4583908502
GOOGL,136.36846163789014,236368.46163789014
AMZN,36.91897025474016,136918.97025474015
META,14.176579738430117,114176.57973843011
