symbol,buy_threshold,and_threshold,or_threshold,train_return,test_return_2025,total_return
NVDA,5,25,50,444.6468321556802,37.090389643057286,498.1885097971504
AAPL,0,5,25,102.25905043183019,9.561766540939942,251.85751852319024
MSFT,5,10,25,73.03071972682007,11.051395027545595,207.9420518931701
TSLA,-15,25,45,257.50322074529015,71.96199231990342,165.6766496698201
AMZN,-20,20,30,80.85882144562,3.9829452619174255,135.2245072930901
GOOGL,-10,15,25,55.810280581760054,18.236736904198203,130.39490178987023
META,-30,25,50,445.2906157077299,0.0,9.955565996960015
