symbol,total_return,final_value
NVDA,498.1885097971504,598188.5097971504
AAPL,251.85751852319024,351857.5185231902
MSFT,207.9420518931701,307942.0518931701
TSLA,165.6766496698201,265676.6496698201
AMZN,135.2245072930901,235224.50729309014
GOOGL,130.39490178987023,230394.90178987023
META,9.955565996960015,109955.56599696002
