symbol,and_threshold,or_threshold,total_return,win_rate
NVDA,25,60,847.3164414729505,100.0
TSLA,25,50,492.8598308836003,75.0
AAPL,10,30,252.0056313162201,100.0
GOOGL,15,30,236.4255059991601,100.0
MSFT,15,30,173.72957203837004,0.0
META,15,55,151.22194293921015,75.0
AMZN,20,30,112.52321107944012,66.66666666666666
