symbol,total_return,final_value,win_rate
NVDA,847.3164414729505,947316.4414729504,100.0
TSLA,492.8598308836003,592859.8308836003,75.0
AAPL,252.0056313162201,352005.6313162201,100.0
GOOGL,236.4255059991601,336425.5059991601,100.0
MSFT,173.72957203837004,273729.57203837,0.0
META,151.22194293921015,251221.94293921016,75.0
AMZN,112.52321107944012,212523.21107944014,66.66666666666666
