strategy,final_value,total_return,num_buys,num_sells,win_rate
D.Threshold_Staged,681733.3881612504,581.7333881612503,25,9,88.88888888888889
B.MA_Confirm,621432.4935722607,521.4324935722607,21,20,40.0
E.Reversal_Confirm,445437.6973563906,345.4376973563906,23,22,45.45454545454545
C.Time_Staged,443040.71167774044,343.04071167774043,18,10,80.0
A.Baseline,415909.5748310705,315.9095748310705,17,16,68.75
