strategy,final_value,total_return,annual_return,max_drawdown,sharpe,num_trades,win_rate,avg_profit,avg_loss
A.基准,1273038.1767118904,1173.0381767118904,52.805940399217555,-51.13399899431641,1.3159829756751436,6,100.0,103.55539194765777,0
B.MA确认,836769.3504308606,736.7693504308606,42.48450152670817,-50.08923075427468,1.1790477327292863,6,100.0,79.00145403167423,0
C.时间分批,1338935.0595222907,1238.9350595222909,54.096669453751865,-54.245262439055665,1.2918426044654983,12,100.0,93.07739724728542,0
D.阈值分批,432057.5719828502,332.0575719828502,27.621429078527093,-26.737306226324726,1.3411349021281738,17,100.0,87.56665062628919,0
E.反转确认,1093118.9797473606,993.1189797473605,48.97426080084089,-50.091601991597315,1.265483394399912,6,100.0,93.95892145297475,0
