strategy,final_value,total_return,num_buys,num_sells,win_rate
D.Threshold_Staged,947316.4414729504,847.3164414729505,16,5,100.0
B.MA_Confirm,743323.7662811907,643.3237662811907,10,9,66.66666666666666
E.Reversal_Confirm,672054.6789762406,572.0546789762406,10,9,88.88888888888889
C.Time_Staged,381004.13138989016,281.0041313898902,11,5,100.0
A.Baseline,308792.5767350802,208.79257673508022,9,8,75.0
