symbol,total_return,final_value
NVDA,469.9269426456703,569926.9426456703
TSLA,290.58403234211016,390584.0323421102
AAPL,192.95764760205017,292957.64760205016
MSFT,156.63651260228013,256636.51260228013
AMZN,48.62862674741004,148628.62674741005
GOOGL,45.945269236890084,145945.26923689008
META,27.1465260009101,127146.52600091009
