symbol,buy_threshold,and_threshold,or_threshold,test_buy_2026,train_return,test_return_2025,total_return
NVDA,0,25,45,0.0,726.6872541069698,33.619306419981854,469.9269426456703
TSLA,-30,25,50,-24.0,233.72823371620007,51.89274007887461,290.58403234211016
AAPL,-5,5,25,-4.0,121.16523249330014,21.206506508014368,192.95764760205017
MSFT,5,5,25,4.0,68.49969522267021,11.870930500617805,156.63651260228013
AMZN,-20,20,25,-16.0,80.85882144562,4.059499178178516,48.62862674741004
GOOGL,5,15,25,4.0,52.60643225599999,33.94132616631171,45.945269236890084
META,-25,20,45,-20.0,151.29512697839996,8.404636942928834,27.1465260009101
