symbol,and_threshold,or_threshold,total_return,win_rate
NVDA,25,60,1399.5976123824,100.0
TSLA,25,50,478.7751243824504,75.0
AAPL,10,30,216.19967725499006,100.0
GOOGL,15,30,201.24289570548,100.0
META,15,55,193.9897744813302,66.66666666666666
MSFT,15,30,173.72957203837004,0.0
AMZN,20,30,90.89459889128,0.0
