type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-16,4.91,5081,24997.630367709997,3.5336,Level 1/4: sentiment 3.5 < 5,1.0,W2020,NVDA,
BUY,2020-03-23,5.32,4689,24995.395905479996,-0.0819,Level 2/4: sentiment -0.1 < 0,2.0,W2020,NVDA,
BUY,2021-03-08,11.59,3833,44513.36336446999,-6.6521,Level 3/4: sentiment -6.7 < -5,3.0,W2021,NVDA,
SELL,2023-05-25,37.98,13603,515609.17276193993,50.9472,OR: sentiment 50.9 > 50,,W2023,NVDA,445.58128264004085
BUY,2023-10-25,41.78,3111,130237.66513757997,4.2554,Level 1/4: sentiment 4.3 < 5,1.0,W2023,NVDA,
BUY,2023-10-27,40.5,3210,130265.14000499998,-1.1602,Level 2/4: sentiment -1.2 < 0,2.0,W2023,NVDA,
SELL,2024-08-29,117.59,6321,741800.56050639,31.2653,AND+slope: sentiment 31.3 > 25 & price < MA50 & MA50_slope -0.52 < 0,,W2024,NVDA,184.7572255893303
BUY,2024-09-10,108.1,2313,250535.62063529994,4.282,Level 1/4: sentiment 4.3 < 5,1.0,W2024,NVDA,
BUY,2025-02-27,120.15,2225,267868.68483374995,-1.1596,Level 2/4: sentiment -1.2 < 0,2.0,W2025,NVDA,
BUY,2025-03-03,114.06,2344,267891.62063663994,-7.6949,Level 3/4: sentiment -7.7 < -5,3.0,W2025,NVDA,
