symbol,total_return,final_value,win_rate
NVDA,1399.5976123824,1499597.6123824,100.0
TSLA,478.7751243824504,578775.1243824504,75.0
AAPL,216.19967725499006,316199.6772549901,100.0
GOOGL,201.24289570548,301242.89570548,100.0
META,193.9897744813302,293989.7744813302,66.66666666666666
MSFT,173.72957203837004,273729.57203837,0.0
AMZN,90.89459889128,190894.59889128,0.0
