buy_threshold,and_sell_threshold,or_threshold,total_return,annualized_return,sharpe_ratio,max_drawdown,total_trades,win_rate
-20,25,45,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,45,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,40,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,50,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,55,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,60,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,65,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,65,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,60,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,55,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,50,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,40,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,30,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,35,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,20,30,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
-20,25,35,89.35875361675983,13.678418177131935,0.6330227272612947,-36.61700873128372,1,100.0
0,15,60,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,30,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,35,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,40,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,45,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,50,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,55,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,15,65,81.92157370422922,12.767491546322262,0.5812903649193414,-46.316065704823764,3,66.66666666666666
0,10,55,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,30,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,65,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,60,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,50,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,45,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,40,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,10,35,79.53008681526931,12.468252687633473,0.5762214799206511,-46.316065704823764,4,75.0
0,15,25,74.0575767918,11.771318430096422,0.5563628332491298,-46.316065704823764,4,75.0
0,10,25,74.0575767918,11.771318430096422,0.5563628332491298,-46.316065704823764,4,75.0
0,20,55,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,50,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,45,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,50,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,55,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,60,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,65,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,30,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,65,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,60,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,30,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,35,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,35,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,40,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,20,45,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
0,25,40,66.16418391590024,10.734566751299779,0.5164166802565442,-46.316065704823764,2,100.0
-5,20,55,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,60,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,65,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,50,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,60,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,40,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,35,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,30,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,30,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,35,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,40,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,45,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,50,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,25,55,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,45,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-5,20,65,64.31765111096006,10.486369588555311,0.5116510897511374,-46.43133543630233,2,100.0
-20,25,25,47.822438318480074,8.16414548104043,0.509428774618384,-36.61700873128372,1,100.0
-20,20,25,47.822438318480074,8.16414548104043,0.509428774618384,-36.61700873128372,1,100.0
5,15,30,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,35,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,40,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,45,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,50,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,55,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,60,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
5,15,65,58.423679939467064,9.678938505612123,0.47542385333910764,-46.2427533207068,3,66.66666666666666
-15,20,30,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,60,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,40,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,35,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,30,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,65,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,35,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,55,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,50,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,45,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,20,40,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,55,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,50,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,45,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,60,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
-15,25,65,53.39189561773958,8.970396877887277,0.4683837403646097,-35.10573771336149,1,100.0
5,15,25,55.82898295387899,9.315853967438436,0.4662975972342305,-46.2427533207068,4,75.0
5,10,35,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,55,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,60,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,65,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,30,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,50,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,40,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,45,54.71693103069746,9.158760247519005,0.4606462823781968,-46.2427533207068,4,75.0
5,10,25,53.676977694415044,9.011032840278755,0.45747143958809183,-46.2427533207068,5,80.0
5,25,50,46.591482331414944,7.98268072432593,0.4201833906352378,-46.2427533207068,2,100.0
5,20,35,46.591482331414944,7.98268072432593,0.4201833906352378,-46.2427533207068,2,100.0
5,20,40,46.591482331414944,7.98268072432593,0.4201833906352378,-46.2427533207068,2,100.0
5,20,45,46.591482331414944,7.98268072432593,0.4201833906352378,-46.2427533207068,2,100.0
5,20,50,46.591482331414944,7.98268072432593,0.4201833906352378,-46.2427533207068,2,100.0
