symbol,sell_mode,position_mode,total_return,annualized,max_drawdown,sharpe,trades,win_rate,final_value
NVDA,and_ma,dynamic,7.727692826988803,0.5423391780637641,-0.602570017672507,1.246359218058078,5,0.8,872769.2826988803
TSLA,and_ma,dynamic,2.2733331022454006,0.26764614627856886,-0.6060620599019332,0.7573681411420745,4,0.75,327333.31022454007
GOOGL,threshold,fixed,2.0894973618825006,0.2530764433637236,-0.3873084558376065,0.9823283598356622,1,1.0,308949.73618825007
META,and_ma,dynamic,1.4337351713367004,0.1946884462442049,-0.6540714077420645,0.7101870797538286,3,1.0,243373.51713367004
MSFT,threshold,fixed,0.9916576558399003,0.14773846841598526,-0.32434606282431716,0.7457191865584128,1,1.0,199165.76558399003
AAPL,threshold,fixed,0.9101183191380001,0.13818289330082467,-0.29770004494669683,0.674108444725801,1,1.0,191011.8319138
AMZN,and_ma,fixed,0.4417049337726005,0.07590834728033413,-0.46235743880393687,0.4134104596394247,3,0.6666666666666666,144170.49337726005
