type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2024-08-01,170.76,455,77851.26929579997,-0.515,Level 2/4: sentiment -0.5 < 0,2.0,W2024,GOOGL,
BUY,2024-08-07,158.94,489,77877.18104165998,-6.2384,Level 3/4: sentiment -6.2 < -5,3.0,W2024,GOOGL,
SELL,2025-09-05,235.0,1410,330687.63135,30.2406,OR: sentiment 30.2 > 30,,W2025,GOOGL,41.49717497592178
BUY,2020-01-22,94.37,264,24963.532273679994,4.9625,Level 1/4: sentiment 5.0 < 5,1.0,W2020,AMZN,
BUY,2020-02-27,94.21,264,24921.207751439993,-0.1024,Level 2/4: sentiment -0.1 < 0,2.0,W2020,AMZN,
BUY,2021-02-22,159.04,210,33465.230198399986,-5.3717,Level 3/4: sentiment -5.4 < -5,3.0,W2021,AMZN,
SELL,2025-02-18,226.65,738,166933.3318677,16.6674,AND: sentiment 16.7 > 15 & price < MA50,,W2025,AMZN,100.28001380208553
BUY,2025-03-04,203.8,224,45742.54805119999,4.9152,Level 1/4: sentiment 4.9 < 5,1.0,W2025,AMZN,
BUY,2025-03-17,195.74,234,45894.812123159994,-0.6297,Level 2/4: sentiment -0.6 < 0,2.0,W2025,AMZN,
BUY,2025-04-08,170.66,268,45828.39949687998,-5.7004,Level 3/4: sentiment -5.7 < -5,3.0,W2025,AMZN,
BUY,2020-02-27,189.75,131,24906.989357249993,4.3064,Level 1/4: sentiment 4.3 < 5,1.0,W2020,META,
BUY,2020-03-09,169.5,147,24966.35791649999,-1.3821,Level 2/4: sentiment -1.4 < 0,2.0,W2020,META,
BUY,2020-03-12,154.47,161,24919.434209669995,-6.0598,Level 3/4: sentiment -6.1 < -5,3.0,W2020,META,
BUY,2020-03-17,149.42,166,24853.352243719994,-11.1559,Level 4/4: sentiment -11.2 < -10,4.0,W2020,META,
SELL,2020-07-24,230.71,605,139300.53047955,25.3392,AND: sentiment 25.3 > 15 & price < MA50,,W2020,META,39.795218609279196
BUY,2020-10-02,259.94,134,34901.65875195999,4.8315,Level 1/4: sentiment 4.8 < 5,1.0,W2020,META,
BUY,2021-01-08,267.57,131,35121.80839166999,-0.5281,Level 2/4: sentiment -0.5 < 0,2.0,W2021,META,
BUY,2021-01-13,251.64,139,35047.95089795999,-5.157,Level 3/4: sentiment -5.2 < -5,3.0,W2021,META,
BUY,2023-01-03,124.74,169,21123.243201059995,-12.2719,Level 4/4: sentiment -12.3 < -10,4.0,W2023,META,
SELL,2023-03-16,204.93,573,117190.15764489002,42.2681,OR: sentiment 42.3 > 40,,W2023,META,-7.135407717800275
BUY,2023-10-26,288.35,113,32648.74968355,4.8802,Level 1/4: sentiment 4.9 < 5,1.0,W2023,META,
BUY,2024-07-18,475.85,71,33852.95448535,-0.4593,Level 2/4: sentiment -0.5 < 0,2.0,W2024,META,
BUY,2024-07-25,453.41,75,34073.79550574999,-6.6713,Level 3/4: sentiment -6.7 < -5,3.0,W2024,META,
