type,date,price,shares,value,sentiment,reason,batch,window,symbol,profit_pct
BUY,2020-03-19,28.51,875,24996.167446249998,3.8373,Level 1/4: sentiment 3.8 < 5,1.0,W2020,TSLA,
SELL,2020-04-16,49.68,875,43383.10347,41.3121,OR: sentiment 41.3 > 40,,W2020,TSLA,73.55902085104839
BUY,2021-04-29,225.67,130,29395.803537099993,3.9515,Level 1/4: sentiment 4.0 < 5,1.0,W2021,TSLA,
BUY,2021-05-07,224.12,131,29418.468799719994,-0.2739,Level 2/4: sentiment -0.3 < 0,2.0,W2021,TSLA,
BUY,2021-05-12,196.63,150,29553.518494499993,-7.5196,Level 3/4: sentiment -7.5 < -5,3.0,W2021,TSLA,
BUY,2021-05-13,190.56,155,29595.903136799992,-10.0322,Level 4/4: sentiment -10.0 < -10,4.0,W2021,TSLA,
SELL,2023-09-01,245.01,566,138398.44735566,20.0135,AND: sentiment 20.0 > 20 & price < MA50,,W2023,TSLA,17.32291750126321
BUY,2023-10-18,242.68,142,34529.51558055999,3.9714,Level 1/4: sentiment 4.0 < 5,1.0,W2023,TSLA,
BUY,2023-10-19,220.11,157,34626.419097269994,-0.3233,Level 2/4: sentiment -0.3 < 0,2.0,W2023,TSLA,
BUY,2023-10-23,212.08,163,34638.21264904,-6.8439,Level 3/4: sentiment -6.8 < -5,3.0,W2023,TSLA,
BUY,2023-10-25,212.42,163,34693.74354445999,-10.3914,Level 4/4: sentiment -10.4 < -10,4.0,W2023,TSLA,
SELL,2024-12-13,436.23,625,272098.73514375003,55.8352,OR: sentiment 55.8 > 55,,W2024,TSLA,96.4783588166266
BUY,2025-02-26,290.8,233,67891.98055639998,4.145,Level 1/4: sentiment 4.1 < 5,1.0,W2025,TSLA,
BUY,2025-03-03,284.65,238,67882.26114669998,-0.9326,Level 2/4: sentiment -0.9 < 0,2.0,W2025,TSLA,
BUY,2025-03-06,263.45,258,68106.10817009998,-5.4533,Level 3/4: sentiment -5.5 < -5,3.0,W2025,TSLA,
BUY,2025-03-10,222.15,305,67891.32925574998,-13.0239,Level 4/4: sentiment -13.0 < -10,4.0,W2025,TSLA,
