symbol,total_return,final_value,win_rate
NVDA,366.5147657735802,466514.7657735802,100.0
TSLA,365.6713345547603,465671.33455476025,100.0
GOOGL,309.0088385822301,409008.8385822301,100.0
AAPL,243.83809376169006,343838.0937616901,100.0
MSFT,180.05264395430999,280052.64395431,0.0
AMZN,117.63254493151005,217632.54493151006,100.0
META,91.19883763986007,191198.83763986008,50.0
