symbol,buy<-15,buy<-10,buy<-5,buy<0,buy<5,best_threshold,best_return
NVDA,185.74102185717004,174.08044605155,250.1068377671301,1510.7081896586908,1451.4144829951208,0,1510.7081896586908
TSLA,517.0840585936103,397.0352777921602,405.60349084438025,413.2758570287103,427.76772364281015,-15,517.0840585936103
AAPL,57.63066904595004,140.30696218725,294.9671971686002,275.63621100148026,302.94084650786016,5,302.94084650786016
MSFT,71.74379681828,75.73297689826002,217.36728439204006,219.77905174572,182.96187782379002,0,219.77905174572
GOOGL,96.66515265850002,74.22223647045003,282.12116217373017,268.95046158250017,259.1565459572102,-5,282.12116217373017
AMZN,15.005678915320031,4.952069454560015,63.72191832325007,171.37331080747015,142.24150247164013,0,171.37331080747015
META,-1.7461901073599462,80.04902725041012,62.05171848772009,160.54544235579016,109.98406588003023,0,160.54544235579016
