symbol,window,buy_threshold,interval_days,and_threshold,or_threshold,train_return,test_return
NVDA,W2020,3,5,15,50,830.001233637568,125.93847054017004
NVDA,W2021,3,5,15,40,432.30731504228004,44.94223353339151
NVDA,W2022,5,5,25,40,453.00964789355015,-41.5918038742792
NVDA,W2023,7,7,15,40,402.0354210818905,56.544532268974514
NVDA,W2024,3,5,25,60,794.1417744285502,89.85807002149173
NVDA,W2025,10,5,25,60,724.0288495202403,12.696401913705536
