symbol,window,test_year,train_buy,train_and,train_or,train_return,train_trades,test_buy,test_and,test_or,test_return,test_trades,position_carry
AAPL,W2020,2020,-5,15,65,144.6394493646,1,-4.0,15,65,42.913744026228606,1,True
AAPL,W2021,2021,-5,20,65,261.59349642832,3,-4.0,20,65,33.56785121407797,0,True
AAPL,W2022,2022,-5,20,65,339.39820530979006,3,-4.0,20,65,-26.56249662786545,0,True
AAPL,W2023,2023,5,5,35,198.84225026963045,21,4.0,5,35,45.87331760216391,4,True
AAPL,W2024,2024,-5,25,65,193.99440804393004,1,-4.0,25,65,32.43673602045354,0,True
AAPL,W2025,2025,0,5,35,102.25905043183019,12,0.0,5,35,21.207360884400607,2,False
MSFT,W2020,2020,0,20,50,172.83608552266,1,0.0,20,50,35.69707626700121,0,True
MSFT,W2021,2021,5,25,65,193.17664932456,1,4.0,25,65,50.693721599339625,0,True
MSFT,W2022,2022,0,10,30,235.96625701734015,5,0.0,10,30,-24.625935094674123,0,True
MSFT,W2023,2023,0,10,30,94.84574361824012,7,0.0,10,30,46.29987580199957,2,True
MSFT,W2024,2024,0,10,25,154.7634480902402,7,0.0,10,25,14.985963809419435,2,True
MSFT,W2025,2025,5,10,25,73.03071972682007,7,4.0,10,25,11.047807282533185,2,True
GOOGL,W2020,2020,0,15,50,92.76002338350004,7,0.0,15,50,26.659953449963368,2,True
GOOGL,W2021,2021,0,15,25,112.82622002078017,9,0.0,15,25,55.956811848854635,0,True
GOOGL,W2022,2022,0,15,50,194.29738861473015,7,0.0,15,50,-34.763217743396105,0,True
GOOGL,W2023,2023,0,10,25,73.10879513474022,7,0.0,10,25,27.894601037018173,3,True
GOOGL,W2024,2024,-5,25,50,124.38546761872003,1,-4.0,25,50,33.67060453477395,0,True
GOOGL,W2025,2025,-10,20,25,55.810280581760054,3,-8.0,20,25,18.686815841778404,1,True
AMZN,W2020,2020,0,25,60,186.27683736859998,1,0.0,25,60,66.72054151480711,0,True
AMZN,W2021,2021,5,20,35,214.68995732116,3,4.0,20,35,3.7503702206801437,0,True
AMZN,W2022,2022,-15,25,65,118.07001296640003,1,-12.0,25,65,-46.14383427902138,0,True
AMZN,W2023,2023,5,25,35,10.588823731620046,3,4.0,25,35,53.48914812343559,0,True
AMZN,W2024,2024,5,15,35,73.56323475684003,5,4.0,15,35,38.23736036868692,0,True
AMZN,W2025,2025,-20,20,35,80.85882144562,1,-16.0,20,35,4.281655037350007,0,True
NVDA,W2020,2020,5,10,45,427.6830056269083,9,4.0,10,45,14.383056686553264,3,True
NVDA,W2021,2021,5,15,45,359.44610169180004,8,4.0,15,45,34.154436715846614,2,False
NVDA,W2022,2022,-30,25,65,644.72137999992,1,-24.0,25,65,-50.14284904618266,0,True
NVDA,W2023,2023,0,25,45,257.33076958908015,3,0.0,25,45,134.39840020098518,2,True
NVDA,W2024,2024,5,25,65,722.2902629279903,3,4.0,25,65,58.69854460417181,3,True
NVDA,W2025,2025,5,25,50,444.6468321556802,6,4.0,25,50,37.08743075495799,3,False
META,W2020,2020,5,25,65,68.07586063019,1,4.0,25,65,16.64552468817575,2,True
META,W2021,2021,-10,10,25,75.73583992745006,4,-8.0,10,25,-0.5564631453969016,1,False
META,W2022,2022,-5,10,25,116.56902802230009,5,-4.0,10,25,-54.31051068308008,0,True
META,W2023,2023,-30,5,25,28.033125707730022,1,-24.0,5,25,49.35249321627329,1,True
META,W2024,2024,-30,20,65,237.59026570773,1,-24.0,20,65,32.76089611461612,1,True
META,W2025,2025,-30,25,65,445.2906157077299,1,-24.0,25,65,9.788705345481329,0,True
