symbol,window,type,date,price,sentiment,reason,profit_pct
AAPL,W2020,SELL,2020-09-17,110.34,19.244,AND: sentiment 19.2 > 15 & price < MA50,321.23235491637894
AAPL,W2023,SELL,2023-09-06,182.91,9.2556,AND: sentiment 9.3 > 5 & price < MA50,25.615266557266047
AAPL,W2023,BUY,2023-09-19,179.07,3.7207,sentiment 3.7 < 4.0,
AAPL,W2023,SELL,2023-10-17,177.15,5.7121,AND: sentiment 5.7 > 5 & price < MA50,-1.467127337336837
AAPL,W2023,BUY,2023-10-23,173.0,3.9861,sentiment 4.0 < 4.0,
AAPL,W2025,BUY,2025-03-17,214.0,-5.2652,sentiment -5.3 < 0.0,
AAPL,W2025,SELL,2025-12-31,271.86,11.1504,AND: sentiment 11.2 > 5 & price < MA50,26.530248421506737
MSFT,W2023,SELL,2023-07-27,330.72,12.0702,AND: sentiment 12.1 > 10 & price < MA50,8.838513727621029
MSFT,W2023,BUY,2023-08-16,320.4,-0.0127,sentiment -0.0 < 0.0,
MSFT,W2024,SELL,2024-07-19,437.11,10.6046,AND: sentiment 10.6 > 10 & price < MA50,35.88172647992046
MSFT,W2024,BUY,2024-07-31,418.35,-0.7139,sentiment -0.7 < 0.0,
MSFT,W2025,SELL,2025-10-10,510.96,12.2176,AND: sentiment 12.2 > 10 & price < MA50,21.63485696860545
MSFT,W2025,BUY,2025-10-31,517.81,3.7845,sentiment 3.8 < 4.0,
GOOGL,W2020,SELL,2020-09-08,76.18,15.4505,AND: sentiment 15.5 > 15 & price < MA50,46.083728392486314
GOOGL,W2020,BUY,2020-09-22,72.99,-0.7891,sentiment -0.8 < 0.0,
GOOGL,W2023,SELL,2023-07-10,116.45,12.6364,AND: sentiment 12.6 > 10 & price < MA50,-18.874498003454633
GOOGL,W2023,BUY,2023-10-31,124.08,-0.7344,sentiment -0.7 < 0.0,
GOOGL,W2023,SELL,2023-11-30,132.53,10.5577,AND: sentiment 10.6 > 10 & price < MA50,6.383735212570807
GOOGL,W2025,SELL,2025-09-04,232.3,27.1962,OR: sentiment 27.2 > 25,55.63881045076835
NVDA,W2020,SELL,2020-03-13,6.02,11.3806,AND: sentiment 11.4 > 10 & price < MA50,54.53525999629383
NVDA,W2020,BUY,2020-03-20,5.14,3.3175,sentiment 3.3 < 4.0,
NVDA,W2020,SELL,2020-04-01,6.08,10.0151,AND: sentiment 10.0 > 10 & price < MA50,17.815730878154866
NVDA,W2021,BUY,2021-03-16,13.29,-3.0345,sentiment -3.0 < 4.0,
NVDA,W2021,SELL,2021-08-18,19.04,22.645,AND: sentiment 22.6 > 15 & price < MA50,42.69369519807575
NVDA,W2023,SELL,2023-05-18,31.68,45.2858,OR: sentiment 45.3 > 45,172.24791251377272
NVDA,W2023,BUY,2023-10-31,40.78,-0.0063,sentiment -0.0 < 0.0,
NVDA,W2024,SELL,2024-04-19,76.2,28.4519,AND: sentiment 28.5 > 25 & price < MA50,88.18697913914629
NVDA,W2024,BUY,2024-08-02,107.27,3.2927,sentiment 3.3 < 4.0,
NVDA,W2024,SELL,2024-08-29,117.59,29.9317,AND: sentiment 29.9 > 25 & price < MA50,9.182976890835386
NVDA,W2025,BUY,2025-03-17,119.53,-10.0179,sentiment -10.0 < 4.0,
NVDA,W2025,SELL,2025-09-02,170.78,34.3853,AND: sentiment 34.4 > 25 & price < MA50,42.30590160910994
NVDA,W2025,BUY,2025-11-20,180.64,3.397,sentiment 3.4 < 4.0,
META,W2020,SELL,2020-07-24,230.71,25.0992,AND: sentiment 25.1 > 25 & price < MA50,107.74704178208734
META,W2020,BUY,2020-09-24,249.53,2.9371,sentiment 2.9 < 4.0,
META,W2021,BUY,2021-11-29,338.03,-8.1019,sentiment -8.1 < -8.0,
META,W2023,SELL,2023-03-15,197.75,33.342,OR: sentiment 33.3 > 25,121.52803917462616
META,W2024,SELL,2024-05-13,468.01,20.6329,AND: sentiment 20.6 > 20 & price < MA50,424.2848931181634
