symbol,buy_threshold,sell_mode,sell_threshold,position_mode,total_return,annualized,max_drawdown,sharpe,trade_count,win_rate,final_value
UBER,-5,and_ma,5,dynamic,0.6874801636824001,0.11031890711552617,-0.5447589516947802,0.4720255302223765,2,0.5,168748.01636824
HOOD,-5,and_ma,5,dynamic,3.403758871998001,0.3451313860298155,-0.5778596599670763,0.9598390993317479,4,0.75,440375.8871998001
COIN,-10,threshold,30,fixed,0.7272543431039004,0.11550432555886792,-0.7731452999149732,0.4796927111362807,4,0.5,172725.43431039003
BABA,-10,threshold,30,fixed,-0.28706629444499965,-0.06543431767592456,-0.6327109401572983,-0.0429593571922537,1,0.0,71293.37055550003
