buy_threshold,and_sell_threshold,or_sell_threshold,y2021,y2022,y2023,y2024,y2025,avg_return,cumulative,positive_years
-5,15,30,91.42963779279027,-41.319009394840165,133.3169826071583,76.94825934215991,56.28007947464981,63.33118996438363,624.7744644472963,4
-5,15,35,67.29748459230022,-41.319009394840165,133.3169826071583,93.80441639207982,56.28007947464981,61.8759907342696,593.7459997584621,4
-5,15,25,88.4565029937003,-41.319009394840165,133.3169826071583,66.3249778175999,56.28007947464981,60.61190669965364,570.6810159913632,4
-10,15,35,0.0,-44.129263691999995,138.10048219854053,123.77640578436,81.53804654815026,59.85713416781016,440.41403784595104,3
-5,15,20,61.953368877480244,-41.319009394840165,131.9479666750507,54.36956455823987,56.28007947464981,52.64639403811609,431.793831314866,4
-10,15,30,0.0,-44.129263691999995,138.10048219854053,104.00628541464,81.53804654815026,55.903110093866154,392.6697256596321,3
-10,15,25,0.0,-44.129263691999995,138.10048219854053,91.54653234993002,81.53804654815026,53.41115948092416,362.5797550898484,3
-10,15,20,0.0,-44.129263691999995,136.67008196941896,77.52435881966997,81.53804654815026,50.32064472904784,326.1410451490066,3
-5,15,15,46.79498118873025,-41.319009394840165,101.88885650213275,46.23671178785982,47.51040550550989,40.22238911787851,275.14577745607056,4
-10,15,15,0.0,-44.129263691999995,106.01546497140149,73.68577044686992,71.1475747497301,41.343909295200305,242.15209731250098,3
-20,15,35,0.0,-0.14024220119999153,105.76275718151886,0.0,51.853771045400144,31.495257205143805,212.02030750021288,2
-20,15,30,0.0,-0.14024220119999153,105.76275718151886,0.0,51.853771045400144,31.495257205143805,212.02030750021288,2
-20,15,25,0.0,-0.14024220119999153,105.76275718151886,0.0,51.853771045400144,31.495257205143805,212.02030750021288,2
-20,15,20,0.0,-0.14024220119999153,104.53650925679784,0.0,51.853771045400144,31.250007620199597,210.16081523939806,2
-20,15,15,0.0,-0.14024220119999153,78.0465992685483,0.0,43.373525260060156,24.255976465481695,154.91368734551574,2
-5,5,30,91.42963779279027,-34.96016313083007,70.45936996578486,-0.8932637752800954,17.286094920659977,28.66433515462499,146.69434861707424,3
-5,5,25,88.4565029937003,-34.96016313083007,70.45936996578486,-0.8932637752800954,17.286094920659977,28.069708194806992,142.8628857304017,3
-5,5,15,46.79498118873025,-34.96016313083007,70.45936996578486,22.82779993205988,17.286094920659977,24.481616575280977,134.45242510718978,4
-5,0,30,91.42963779279027,-34.96016313083007,68.9933482587605,1.571733488279925,6.106577538749947,26.628226789550116,126.7636311452282,4
-10,5,15,0.0,-34.66655891829994,73.90499125688828,45.654716759669924,35.33725296768002,24.046080413187656,123.96981427011053,3
-5,0,25,88.4565029937003,-34.96016313083007,68.9933482587605,1.571733488279925,6.106577538749947,26.033599829732122,123.24171651017232,4
-15,15,30,0.0,-43.06605437732011,105.76275718151886,0.0,81.86978093040018,28.913296746919787,113.05836828882238,2
-15,15,25,0.0,-43.06605437732011,105.76275718151886,0.0,81.86978093040018,28.913296746919787,113.05836828882238,2
-15,15,35,0.0,-43.06605437732011,105.76275718151886,0.0,81.86978093040018,28.913296746919787,113.05836828882238,2
-15,15,20,0.0,-43.06605437732011,104.53650925679784,0.0,81.86978093040018,28.668047161975586,111.78864200046331,2
-5,0,15,46.79498118873025,-34.96016313083007,68.9933482587605,22.82779993205988,6.106577538749947,21.9525087574941,110.28061628576472,4
-5,5,20,61.953368877480244,-34.96016313083007,70.45936996578486,-0.8932637752800954,17.286094920659977,22.769081371562983,108.7084387884448,3
-5,10,30,91.42963779279027,-41.319009394840165,62.000448297398925,-1.4373739204800895,12.335900180549997,24.60192059108379,101.49007874749626,3
-10,0,15,0.0,-34.66655891829994,72.40163453185824,45.654716759669924,22.091554155450012,21.096269305735646,100.302830787456,3
-5,5,35,54.702432532020225,-34.96016313083007,70.45936996578486,-0.8932637752800954,17.286094920659977,21.31889410247098,99.36419596778327,3
-15,5,35,0.0,-6.5709419090500765,57.03048272739662,0.0,35.540294331600045,17.199967029989317,98.85401341772061,2
-15,5,30,0.0,-6.5709419090500765,57.03048272739662,0.0,35.540294331600045,17.199967029989317,98.85401341772061,2
-15,5,25,0.0,-6.5709419090500765,57.03048272739662,0.0,35.540294331600045,17.199967029989317,98.85401341772061,2
-15,5,20,0.0,-6.5709419090500765,57.03048272739662,0.0,35.540294331600045,17.199967029989317,98.85401341772061,2
-15,5,15,0.0,-6.5709419090500765,57.03048272739662,0.0,35.540294331600045,17.199967029989317,98.85401341772061,2
-5,10,25,88.4565029937003,-41.319009394840165,62.000448297398925,-1.4373739204800895,12.335900180549997,24.007293631265796,98.36069308024656,3
-5,0,20,61.953368877480244,-34.96016313083007,68.9933482587605,1.571733488279925,6.106577538749947,20.732973006488113,91.84664624718403,4
-5,10,15,46.79498118873025,-41.319009394840165,62.000448297398925,22.14621514910986,12.335900180549997,20.391707084189775,91.48001144790939,4
-5,0,35,54.702432532020225,-34.96016313083007,68.9933482587605,1.571733488279925,6.106577538749947,19.282785737396107,83.25733544945263,4
-15,0,25,0.0,-6.5709419090500765,57.03048272739662,0.0,22.257699422400012,14.54344804814931,79.3668393686938,2
-15,0,30,0.0,-6.5709419090500765,57.03048272739662,0.0,22.257699422400012,14.54344804814931,79.3668393686938,2
-15,0,35,0.0,-6.5709419090500765,57.03048272739662,0.0,22.257699422400012,14.54344804814931,79.3668393686938,2
-15,0,20,0.0,-6.5709419090500765,57.03048272739662,0.0,22.257699422400012,14.54344804814931,79.3668393686938,2
-15,0,15,0.0,-6.5709419090500765,57.03048272739662,0.0,22.257699422400012,14.54344804814931,79.3668393686938,2
-20,5,35,0.0,-0.14024220119999153,57.03048272739662,0.0,14.146716674710081,14.207391440181343,78.99376288159394,2
-20,5,15,0.0,-0.14024220119999153,57.03048272739662,0.0,14.146716674710081,14.207391440181343,78.99376288159394,2
-20,5,20,0.0,-0.14024220119999153,57.03048272739662,0.0,14.146716674710081,14.207391440181343,78.99376288159394,2
-20,5,30,0.0,-0.14024220119999153,57.03048272739662,0.0,14.146716674710081,14.207391440181343,78.99376288159394,2
-20,5,25,0.0,-0.14024220119999153,57.03048272739662,0.0,14.146716674710081,14.207391440181343,78.99376288159394,2
-5,10,35,67.29748459230022,-41.319009394840165,62.000448297398925,-1.4373739204800895,12.335900180549997,19.77548995098578,76.08967834567031,3
-15,15,15,0.0,-43.06605437732011,78.0465992685483,0.0,71.45036631360016,21.286182240965672,73.79744297941471,2
-10,5,20,0.0,-34.66655891829994,73.90499125688828,12.708116013600023,35.33725296768002,17.456760263973678,73.30860525410475,3
-10,5,25,0.0,-34.66655891829994,73.90499125688828,12.708116013600023,35.33725296768002,17.456760263973678,73.30860525410475,3
-10,5,30,0.0,-34.66655891829994,73.90499125688828,12.708116013600023,35.33725296768002,17.456760263973678,73.30860525410475,3
-10,5,35,0.0,-34.66655891829994,73.90499125688828,12.708116013600023,35.33725296768002,17.456760263973678,73.30860525410475,3
-10,10,15,0.0,-44.129263691999995,65.2854583307392,44.83855154186991,29.472170750850047,19.093383386291833,73.17278594646586,3
-5,10,20,61.953368877480244,-41.319009394840165,62.000448297398925,-1.4373739204800895,12.335900180549997,18.706666808021787,70.46470663998093,3
-10,0,25,0.0,-34.66655891829994,72.40163453185824,19.78832488460991,22.091554155450012,15.922990930723643,64.73164140138897,3
-10,0,35,0.0,-34.66655891829994,72.40163453185824,19.78832488460991,22.091554155450012,15.922990930723643,64.73164140138897,3
-10,0,30,0.0,-34.66655891829994,72.40163453185824,19.78832488460991,22.091554155450012,15.922990930723643,64.73164140138897,3
-10,0,20,0.0,-34.66655891829994,72.40163453185824,19.78832488460991,22.091554155450012,15.922990930723643,64.73164140138897,3
-20,0,15,0.0,-0.14024220119999153,57.03048272739662,0.0,3.336160262500054,12.045280157739336,62.04170129422869,2
-20,0,30,0.0,-0.14024220119999153,57.03048272739662,0.0,3.336160262500054,12.045280157739336,62.04170129422869,2
-20,0,20,0.0,-0.14024220119999153,57.03048272739662,0.0,3.336160262500054,12.045280157739336,62.04170129422869,2
-20,0,25,0.0,-0.14024220119999153,57.03048272739662,0.0,3.336160262500054,12.045280157739336,62.04170129422869,2
-20,0,35,0.0,-0.14024220119999153,57.03048272739662,0.0,3.336160262500054,12.045280157739336,62.04170129422869,2
-20,10,15,0.0,-0.14024220119999153,42.869535307576626,0.0,9.359894698300074,10.417837560935343,56.0228561856664,2
-20,10,20,0.0,-0.14024220119999153,42.869535307576626,0.0,9.359894698300074,10.417837560935343,56.0228561856664,2
-20,10,25,0.0,-0.14024220119999153,42.869535307576626,0.0,9.359894698300074,10.417837560935343,56.0228561856664,2
-20,10,30,0.0,-0.14024220119999153,42.869535307576626,0.0,9.359894698300074,10.417837560935343,56.0228561856664,2
-20,10,35,0.0,-0.14024220119999153,42.869535307576626,0.0,9.359894698300074,10.417837560935343,56.0228561856664,2
-10,10,20,0.0,-44.129263691999995,65.2854583307392,12.069944274150002,29.472170750850047,12.539661932747851,33.99377627170918,3
-10,10,25,0.0,-44.129263691999995,65.2854583307392,12.069944274150002,29.472170750850047,12.539661932747851,33.99377627170918,3
-10,10,30,0.0,-44.129263691999995,65.2854583307392,12.069944274150002,29.472170750850047,12.539661932747851,33.99377627170918,3
-10,10,35,0.0,-44.129263691999995,65.2854583307392,12.069944274150002,29.472170750850047,12.539661932747851,33.99377627170918,3
-15,10,15,0.0,-43.06605437732011,42.869535307576626,0.0,29.658874838399996,5.892471153731303,5.466167089698587,2
-15,10,35,0.0,-43.06605437732011,42.869535307576626,0.0,29.658874838399996,5.892471153731303,5.466167089698587,2
-15,10,25,0.0,-43.06605437732011,42.869535307576626,0.0,29.658874838399996,5.892471153731303,5.466167089698587,2
-15,10,20,0.0,-43.06605437732011,42.869535307576626,0.0,29.658874838399996,5.892471153731303,5.466167089698587,2
-15,10,30,0.0,-43.06605437732011,42.869535307576626,0.0,29.658874838399996,5.892471153731303,5.466167089698587,2
-25,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,5,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,5,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,10,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,10,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,15,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,15,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,15,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-25,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
