buy_th,and_sell_th,or_sell_th,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,sharpe_2025,dd_2021,dd_2022,dd_2023,dd_2024,dd_2025,trades_2021,trades_2022,trades_2023,trades_2024,trades_2025,cumulative,avg_return,avg_sharpe,max_drawdown,positive_years
0,10,40,26.952906913379927,-51.39662497760992,143.65131876661698,17.99691251607014,21.011055941175982,1.1139614515716514,-1.4358609606295487,2.9398159489825333,1.1520917391987628,0.8270929584342642,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,2,1,2,114.67107846827255,31.64311383192662,0.9194202275115325,-58.845534977609994,4
0,10,35,26.952906913379927,-51.39662497760992,143.65131876661698,17.99691251607014,21.011055941175982,1.1139614515716514,-1.4358609606295487,2.9398159489825333,1.1520917391987628,0.8270929584342642,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,2,1,2,114.67107846827255,31.64311383192662,0.9194202275115325,-58.845534977609994,4
0,0,35,38.29685861150986,-52.311658595319976,119.24131160691785,12.383876684400107,23.7367280888964,1.6081959478949075,-1.3449859054439177,2.668636239149449,0.9248130008988642,0.9253109877584419,-11.755049904531386,-61.61493859531998,-9.906658669661233,-6.1424121429747975,-27.302437609380547,5,2,2,2,4,101.07105741989426,28.26942327928085,0.9563940540515489,-61.61493859531998,4
0,0,40,38.29685861150986,-52.311658595319976,119.24131160691785,12.383876684400107,23.7367280888964,1.6081959478949075,-1.3449859054439177,2.668636239149449,0.9248130008988642,0.9253109877584419,-11.755049904531386,-61.61493859531998,-9.906658669661233,-6.1424121429747975,-27.302437609380547,5,2,2,2,4,101.07105741989426,28.26942327928085,0.9563940540515489,-61.61493859531998,4
0,20,40,26.952906913379927,-51.39662497760992,146.93552514272002,17.99691251607014,8.105977212964643,1.1139614515716514,-1.4358609606295487,2.82834778635881,1.1520917391987628,0.40947071573906835,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,1,1,1,94.36273507780189,29.718939361504958,0.8136021464477489,-58.845534977609994,4
0,20,35,26.952906913379927,-51.39662497760992,146.93552514272002,17.99691251607014,8.105977212964643,1.1139614515716514,-1.4358609606295487,2.82834778635881,1.1520917391987628,0.40947071573906835,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,1,1,1,94.36273507780189,29.718939361504958,0.8136021464477489,-58.845534977609994,4
0,15,40,26.952906913379927,-51.39662497760992,146.93552514272002,17.99691251607014,8.105977212964643,1.1139614515716514,-1.4358609606295487,2.82834778635881,1.1520917391987628,0.40947071573906835,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,1,1,1,94.36273507780189,29.718939361504958,0.8136021464477489,-58.845534977609994,4
0,15,35,26.952906913379927,-51.39662497760992,146.93552514272002,17.99691251607014,8.105977212964643,1.1139614515716514,-1.4358609606295487,2.82834778635881,1.1520917391987628,0.40947071573906835,-16.928321744257705,-58.845534977609994,-11.837739869414532,-6.292634669406626,-28.37596965090855,1,1,1,1,1,94.36273507780189,29.718939361504958,0.8136021464477489,-58.845534977609994,4
-5,15,35,21.02347627800021,-49.9723748975,146.93552514272002,21.333840780289968,5.029153336319858,0.9923717298494992,-1.3499360311293633,2.82834778635881,1.3876035272759446,0.3154117497550304,-16.77048654458055,-58.11994665987409,-11.837739869414532,-6.336489805962032,-21.13208953270409,1,1,1,1,1,90.52628250500365,28.86992412796601,0.8347597524219841,-58.11994665987409,4
-5,15,40,21.02347627800021,-49.9723748975,146.93552514272002,21.333840780289968,5.029153336319858,0.9923717298494992,-1.3499360311293633,2.82834778635881,1.3876035272759446,0.3154117497550304,-16.77048654458055,-58.11994665987409,-11.837739869414532,-6.336489805962032,-21.13208953270409,1,1,1,1,1,90.52628250500365,28.86992412796601,0.8347597524219841,-58.11994665987409,4
