buy_threshold,and_threshold,or_threshold,avg_return,avg_sharpe,avg_drawdown,avg_win_rate
5,20,40,207.89492491142863,0.7371243067150514,-47.11908107562293,89.28571428571429
0,20,40,193.04577998285728,0.7024225320988734,-46.09073830315926,86.42857142857143
5,25,40,188.19371182000006,0.7138778476696814,-47.85551786820107,92.85714285714286
0,25,40,188.66093033142872,0.6790322181730896,-46.947227580445485,89.28571428571429
5,15,40,144.96599825142863,0.6979430633105673,-46.693556490256825,82.85714285714286
5,20,35,139.82137432285717,0.6948460203208057,-47.12148637148497,89.28571428571429
5,25,35,128.55292660285718,0.6792258609014455,-47.12148637148497,92.85714285714286
5,15,35,125.42067948000003,0.6839117521568715,-46.695961786118865,82.85714285714286
0,20,35,129.13073187714295,0.6581447027665493,-46.09525758659504,86.42857142857143
0,25,35,123.42020944000004,0.6447907017732873,-46.09525758659504,89.28571428571429
0,15,40,119.28734292285723,0.6531538605621696,-44.6112617074014,79.76190476190477
5,10,40,126.1678543085716,0.6230519612145203,-45.51054422547936,81.42857142857143
5,20,30,114.40935729428575,0.6428878735880659,-47.11480422053108,89.28571428571429
0,15,35,104.2636414485715,0.6392217104601885,-44.61578099083717,77.38095238095238
5,20,25,104.02301536857148,0.6342220201758187,-45.5792549540624,87.9591836734694
5,10,35,107.62449133714301,0.6155933755161879,-45.283474802544866,79.84126984126985
5,25,30,104.79694934000001,0.6272181816044419,-47.11480422053108,92.85714285714286
5,15,30,102.31398556571435,0.6314071410757717,-46.68927963516497,80.47619047619048
0,20,30,105.38745841428577,0.602700337760251,-46.09106852528708,86.42857142857143
5,15,25,96.72805983714294,0.6250727548647296,-45.5792549540624,81.29251700680273
-10,20,40,106.54473043142865,0.5697415802440912,-43.563902757256116,89.28571428571429
0,25,30,99.82605943142865,0.5906975710505069,-46.09106852528708,89.28571428571429
-5,20,40,101.29867643142863,0.5718050902554521,-44.59196085394448,89.28571428571429
-10,20,35,100.09698956000004,0.5311728670497928,-43.565985106507874,84.52380952380952
-5,15,40,87.60972463714292,0.5709057471851989,-44.59196085394448,84.52380952380952
0,15,30,84.59741696285722,0.5815277500152731,-44.611591929529204,77.38095238095238
-5,20,35,94.42617060571435,0.5327559782505266,-44.5959444884371,84.52380952380952
5,10,30,85.47487560285727,0.5611756137423354,-45.27679265159098,79.84126984126985
-10,15,40,86.67851106285718,0.5464289150117411,-43.563902757256116,84.52380952380952
0,20,25,81.27152813142864,0.5654649432888225,-44.622597345211965,84.52380952380952
-5,25,40,85.17252298285719,0.540890164098259,-45.3749106469286,92.85714285714286
0,10,40,84.33716937142869,0.5222823308784815,-43.94005359469834,77.14285714285714
-5,25,35,85.35347440000005,0.5200482350451846,-44.5959444884371,85.71428571428571
-10,25,40,82.45389383428576,0.5282388836793593,-44.26376395630068,92.85714285714286
-10,25,35,86.2159869514286,0.5108736633975991,-43.565985106507874,85.71428571428571
-5,15,35,78.9613612628572,0.5317282764578594,-44.5959444884371,79.76190476190474
5,10,25,75.61168208857154,0.5400848437230265,-44.73678758317504,79.84126984126985
-10,20,30,87.33562458857149,0.4907027508869307,-43.56807065971025,84.52380952380952
0,15,25,71.69803379428579,0.5494747298915142,-44.622597345211965,77.38095238095238
-10,15,35,78.14443787142861,0.5077407195862562,-43.565985106507874,79.76190476190474
-5,20,30,82.46996513714294,0.49233401618562905,-44.59689078430246,84.52380952380952
0,10,35,68.79400586857153,0.5153643449415574,-43.661500096087636,74.76190476190474
-5,25,30,74.23641257714289,0.4803671045532672,-44.59689078430246,85.71428571428571
-10,25,30,74.6358024571429,0.47097736300142445,-43.56807065971025,85.71428571428571
-5,15,30,68.35478320285719,0.4909560293918721,-44.59689078430246,79.76190476190474
-10,20,25,69.08430532857149,0.4607410074082116,-43.56148607057465,84.52380952380952
-10,15,30,66.99288732285721,0.4669257136447788,-43.56807065971025,79.76190476190474
-5,20,25,66.34117294000004,0.4621877606879001,-44.592785853444674,84.52380952380952
-5,10,40,55.13379025142866,0.4843866406491163,-43.21800227048454,75.23809523809523
-5,15,25,56.57486313142862,0.4602034285172884,-44.592785853444674,79.76190476190474
0,10,30,53.562854562857225,0.4591252172771192,-43.656709901857674,74.76190476190474
-10,10,40,51.11209331428578,0.45911650309590657,-42.73410733458568,82.14285714285714
-10,15,25,53.764463831428635,0.4363181133840179,-43.56148607057465,79.76190476190474
-5,10,35,45.67570918571437,0.4523261412685358,-43.215403331462944,70.47619047619047
0,10,25,46.409191034285804,0.4315678052686627,-43.664493321143844,74.76190476190474
-10,10,35,41.58544904000006,0.42748098729375217,-42.73211986660055,77.38095238095238
-5,10,30,40.01138165142866,0.41266845058544016,-43.215430128999664,70.47619047619047
-10,10,30,35.76861821428578,0.38752751435082994,-42.73420541980293,77.38095238095238
-5,10,25,35.071497608571505,0.3863983239639723,-43.211818314548346,70.47619047619047
-10,10,25,30.395897208571487,0.3612006512609203,-42.72762083066733,77.38095238095238
