buy_th,and_sell_th,or_sell_th,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,sharpe_2025,dd_2021,dd_2022,dd_2023,dd_2024,dd_2025,trades_2021,trades_2022,trades_2023,trades_2024,trades_2025,cumulative,avg_return,avg_sharpe,max_drawdown,positive_years
0,20,40,100.02872368179969,-31.727764612350096,196.765867502915,11.618444912359926,28.709603665499884,2.0521573911653688,-0.5928568676264585,2.764857927077758,0.5670208850245592,1.0195215395665107,-20.12583105073614,-50.256202391184836,-17.060499856275804,-17.048013327247865,-19.71951758387999,1,1,1,1,2,482.2337233248396,61.07897503004487,1.1621401750415477,-50.256202391184836,4
0,20,35,100.02872368179969,-31.727764612350096,196.765867502915,11.618444912359926,28.709603665499884,2.0521573911653688,-0.5928568676264585,2.764857927077758,0.5670208850245592,1.0195215395665107,-20.12583105073614,-50.256202391184836,-17.060499856275804,-17.048013327247865,-19.71951758387999,1,1,1,1,2,482.2337233248396,61.07897503004487,1.1621401750415477,-50.256202391184836,4
0,15,40,100.02872368179969,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,2.0521573911653688,-0.5928568676264585,3.0893986581097583,0.08020984565495777,1.0195215395665107,-20.12583105073614,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,1,1,2,1,2,434.3213341686337,60.17150915289342,1.1296861133740275,-50.256202391184836,4
0,15,35,100.02872368179969,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,2.0521573911653688,-0.5928568676264585,3.0893986581097583,0.08020984565495777,1.0195215395665107,-20.12583105073614,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,1,1,2,1,2,434.3213341686337,60.17150915289342,1.1296861133740275,-50.256202391184836,4
0,20,30,100.02872368179969,-31.727764612350096,129.42562472153986,11.618444912359926,28.709603665499884,2.0521573911653688,-0.5928568676264585,3.1727677136200856,0.5670208850245592,1.0195215395665107,-20.12583105073614,-50.256202391184836,-8.704078884196319,-17.048013327247865,-19.71951758387999,1,1,2,1,2,350.1169114619875,47.61092647376985,1.2437221323500132,-50.256202391184836,4
0,15,30,100.02872368179969,-31.727764612350096,129.42562472153986,0.06873234874003042,28.709603665499884,2.0521573911653688,-0.5928568676264585,3.1727677136200856,0.08020984565495777,1.0195215395665107,-20.12583105073614,-50.256202391184836,-8.704078884196319,-12.510715087639984,-19.71951758387999,1,1,2,1,2,303.5410883398126,45.30098396104587,1.146359924476093,-50.256202391184836,4
0,5,35,44.49359950737981,-31.727764612350096,203.7782506807776,0.06873234874003042,25.43531681885991,1.6289842607362761,-0.5928568676264585,3.0893986581097583,0.08020984565495777,0.9444760479252285,-15.639429608311447,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,2,1,2,1,2,276.15569296539496,48.409626948681456,1.0300423889599526,-50.256202391184836,4
0,5,40,44.49359950737981,-31.727764612350096,203.7782506807776,0.06873234874003042,25.43531681885991,1.6289842607362761,-0.5928568676264585,3.0893986581097583,0.08020984565495777,0.9444760479252285,-15.639429608311447,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,2,1,2,1,2,276.15569296539496,48.409626948681456,1.0300423889599526,-50.256202391184836,4
0,10,40,36.289758362759805,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,1.3670651841561594,-0.5928568676264585,3.0893986581097583,0.08020984565495777,1.0195215395665107,-20.12583105073614,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,1,1,2,1,2,264.0603418424777,47.423716089085445,0.9926676719721854,-50.256202391184836,4
0,10,35,36.289758362759805,-31.727764612350096,203.7782506807776,0.06873234874003042,28.709603665499884,1.3670651841561594,-0.5928568676264585,3.0893986581097583,0.08020984565495777,1.0195215395665107,-20.12583105073614,-50.256202391184836,-9.985789671321307,-12.510715087639984,-19.71951758387999,1,1,2,1,2,264.0603418424777,47.423716089085445,0.9926676719721854,-50.256202391184836,4
