buy_threshold,and_sell_threshold,or_threshold,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
-5,15,50,328.41905581207095,0.8812715961279527,-61.385906725275966,4,45.21531100478469
0,15,50,211.89550401212034,0.7381711593825833,-59.53327464768194,4,46.09250398724083
-20,25,50,211.45767779879918,0.7538679428984635,-50.510531822818514,1,31.33971291866029
-20,30,50,211.45767779879918,0.7538679428984635,-50.510531822818514,1,31.33971291866029
-20,20,50,211.45767779879918,0.7538679428984635,-50.510531822818514,1,31.33971291866029
-10,15,50,186.14530818760096,0.7160859825046849,-60.6517589346271,3,37.32057416267943
-20,15,50,177.53764542512,0.9386497843732166,-24.673223115379667,2,15.709728867623603
5,15,50,145.0172925327595,0.6294065303861932,-59.607148586947645,4,46.65071770334928
0,30,50,89.20458499305988,0.5061949572989268,-65.40207304584831,2,48.24561403508772
0,25,50,89.20458499305988,0.5061949572989268,-65.40207304584831,2,48.24561403508772
0,20,50,89.20458499305988,0.5061949572989268,-65.40207304584831,2,48.24561403508772
5,30,50,77.36343219691022,0.47901351285053245,-64.78112175129844,2,48.24561403508772
5,25,50,77.36343219691022,0.47901351285053245,-64.78112175129844,2,48.24561403508772
5,20,50,77.36343219691022,0.47901351285053245,-64.78112175129844,2,48.24561403508772
-15,15,50,72.92461168207028,0.5135547573697817,-53.43714705541729,2,21.770334928229666
-15,30,50,54.56940562268014,0.4174110120678207,-53.43714705541729,1,37.32057416267943
-15,25,50,54.56940562268014,0.4174110120678207,-53.43714705541729,1,37.32057416267943
-15,20,50,54.56940562268014,0.4174110120678207,-53.43714705541729,1,37.32057416267943
-10,30,50,50.56733630800026,0.4048534841483062,-60.6517589346271,1,39.23444976076555
-10,25,50,50.56733630800026,0.4048534841483062,-60.6517589346271,1,39.23444976076555
-10,20,50,50.56733630800026,0.4048534841483062,-60.6517589346271,1,39.23444976076555
-5,25,50,35.13661294701021,0.3593866601538051,-65.95480919195931,1,41.068580542264755
-5,20,50,35.13661294701021,0.3593866601538051,-65.95480919195931,1,41.068580542264755
-5,30,50,35.13661294701021,0.3593866601538051,-65.95480919195931,1,41.068580542264755
