buy_th,and_sell_th,or_sell_th,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,sharpe_2025,dd_2021,dd_2022,dd_2023,dd_2024,dd_2025,trades_2021,trades_2022,trades_2023,trades_2024,trades_2025,cumulative,avg_return,avg_sharpe,max_drawdown,positive_years
-10,15,40,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,15,20,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,15,35,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,20,40,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,20,35,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,15,25,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,20,30,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,20,25,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,20,20,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
-10,15,30,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,-0.48976645227899573,-0.8943714203469366,1.8865438073940124,1.7344530778502225,1.142968888900157,-4.3105052045871135,-42.547977978310115,-16.51161778805253,-6.667040076867721,-12.424423580685575,1,1,1,1,1,71.64861527047117,16.33739853319861,0.6759655803036919,-42.547977978310115,3
