symbol,buy_threshold,and_sell_threshold,or_sell_threshold,y2021,y2022,y2023,y2024,y2025,avg_return,cumulative,positive_years
TSLA,-5.0,15.0,30.0,91.4,-41.3,133.3,76.9,56.3,63.3,624.8,4.0
NVDA,0.0,20.0,40.0,100.02872368179969,-31.727764612350096,196.765867502915,11.618444912359926,28.709603665499884,61.07897503004487,482.2337233248396,4.0
AAPL,0.0,5.0,40.0,38.03774721354998,-9.12146653665996,46.76535873759173,34.72823090016994,11.900539444679946,24.46208195186633,177.57063618333302,4.0
META,0.0,10.0,40.0,26.952906913379927,-51.39662497760992,143.65131876661698,17.99691251607014,21.011055941175982,31.64311383192662,114.67107846827255,4.0
GOOGL,-10.0,0.0,40.0,0.0,7.065215846500106,0.0,12.25799745417997,69.57558296141984,17.779759252419986,103.81165064589192,3.0
MSFT,0.0,5.0,20.0,15.23555349664003,-13.328029284600007,53.654476639735485,0.843535322230049,12.645101497446799,13.81012753429047,74.32944783472882,4.0
AMZN,-10.0,15.0,40.0,-2.5546690195500377,-33.57773194608002,61.6562940719932,28.168037188509842,27.99506237112006,16.33739853319861,71.64861527047117,3.0
