buy_threshold,and_sell_threshold,or_sell_threshold,total_return,sharpe_ratio,max_drawdown,total_trades,win_rate
-25,0,15,0.0,0.0,0.0,0,0.0
-25,0,20,0.0,0.0,0.0,0,0.0
-25,0,25,0.0,0.0,0.0,0,0.0
-25,0,30,0.0,0.0,0.0,0,0.0
-25,0,35,0.0,0.0,0.0,0,0.0
-25,5,15,0.0,0.0,0.0,0,0.0
-25,5,20,0.0,0.0,0.0,0,0.0
-25,5,25,0.0,0.0,0.0,0,0.0
-25,5,30,0.0,0.0,0.0,0,0.0
-25,5,35,0.0,0.0,0.0,0,0.0
-25,10,15,0.0,0.0,0.0,0,0.0
-25,10,20,0.0,0.0,0.0,0,0.0
-25,10,25,0.0,0.0,0.0,0,0.0
-25,10,30,0.0,0.0,0.0,0,0.0
-25,10,35,0.0,0.0,0.0,0,0.0
-25,15,15,0.0,0.0,0.0,0,0.0
-25,15,20,0.0,0.0,0.0,0,0.0
-25,15,25,0.0,0.0,0.0,0,0.0
-25,15,30,0.0,0.0,0.0,0,0.0
-25,15,35,0.0,0.0,0.0,0,0.0
-20,0,15,44.69549743325989,0.5162457487380019,-23.57098664394523,2,4.944178628389154
-20,0,20,44.69549743325989,0.5162457487380019,-23.57098664394523,2,4.944178628389154
-20,0,25,44.69549743325989,0.5162457487380019,-23.57098664394523,2,4.944178628389154
-20,0,30,44.69549743325989,0.5162457487380019,-23.57098664394523,2,4.944178628389154
-20,0,35,44.69549743325989,0.5162457487380019,-23.57098664394523,2,4.944178628389154
-20,5,15,59.85979328792999,0.6021744449675562,-23.57098664394523,2,6.140350877192982
-20,5,20,59.85979328792999,0.6021744449675562,-23.57098664394523,2,6.140350877192982
-20,5,25,59.85979328792999,0.6021744449675562,-23.57098664394523,2,6.140350877192982
-20,5,30,59.85979328792999,0.6021744449675562,-23.57098664394523,2,6.140350877192982
-20,5,35,59.85979328792999,0.6021744449675562,-23.57098664394523,2,6.140350877192982
-20,10,15,39.56587837299998,0.43978035650800196,-30.320846387525087,2,7.256778309409888
-20,10,20,39.56587837299998,0.43978035650800196,-30.320846387525087,2,7.256778309409888
-20,10,25,39.56587837299998,0.43978035650800196,-30.320846387525087,2,7.256778309409888
-20,10,30,39.56587837299998,0.43978035650800196,-30.320846387525087,2,7.256778309409888
-20,10,35,39.56587837299998,0.43978035650800196,-30.320846387525087,2,7.256778309409888
-20,15,15,127.24962821165975,0.8930185255127455,-24.673223115379667,2,9.808612440191387
-20,15,20,175.93318972604,0.9944001644242726,-24.673223115379667,2,13.397129186602871
-20,15,25,177.53764542512,0.9386497843732166,-24.673223115379667,2,15.709728867623603
-20,15,30,177.53764542512,0.9386497843732166,-24.673223115379667,2,15.709728867623603
-20,15,35,177.53764542512,0.9386497843732166,-24.673223115379667,2,15.709728867623603
-15,0,15,59.11177063342969,0.5141605259334481,-24.960685717774194,3,8.931419457735247
-15,0,20,59.11177063342969,0.5141605259334481,-24.960685717774194,3,8.931419457735247
-15,0,25,59.11177063342969,0.5141605259334481,-24.960685717774194,3,8.931419457735247
-15,0,30,59.11177063342969,0.5141605259334481,-24.960685717774194,3,8.931419457735247
-15,0,35,59.11177063342969,0.5141605259334481,-24.960685717774194,3,8.931419457735247
-15,5,15,76.37914401538963,0.5879454270455972,-24.960685717774194,3,10.127591706539075
-15,5,20,76.37914401538963,0.5879454270455972,-24.960685717774194,3,10.127591706539075
-15,5,25,76.37914401538963,0.5879454270455972,-24.960685717774194,3,10.127591706539075
-15,5,30,76.37914401538963,0.5879454270455972,-24.960685717774194,3,10.127591706539075
-15,5,35,76.37914401538963,0.5879454270455972,-24.960685717774194,3,10.127591706539075
-15,10,15,-9.578825315230088,0.053630104019410325,-53.43714705541729,2,13.31738437001595
-15,10,20,-9.578825315230088,0.053630104019410325,-53.43714705541729,2,13.31738437001595
-15,10,25,-9.578825315230088,0.053630104019410325,-53.43714705541729,2,13.31738437001595
-15,10,30,-9.578825315230088,0.053630104019410325,-53.43714705541729,2,13.31738437001595
-15,10,35,-9.578825315230088,0.053630104019410325,-53.43714705541729,2,13.31738437001595
-15,15,15,43.89118394722984,0.40398427395682446,-53.43714705541729,2,15.869218500797446
-15,15,20,71.97443174944986,0.5194884136221384,-53.43714705541729,2,19.457735247208934
-15,15,25,72.92461168207028,0.5135547573697817,-53.43714705541729,2,21.770334928229666
-15,15,30,72.92461168207028,0.5135547573697817,-53.43714705541729,2,21.770334928229666
-15,15,35,72.92461168207028,0.5135547573697817,-53.43714705541729,2,21.770334928229666
-10,0,15,72.15405525990997,0.5013803750724983,-54.320236363427576,6,19.138755980861244
-10,0,20,41.5058502147398,0.3760406341971497,-54.320236363427576,6,19.85645933014354
-10,0,25,41.5058502147398,0.3760406341971497,-54.320236363427576,6,19.85645933014354
-10,0,30,41.5058502147398,0.3760406341971497,-54.320236363427576,6,19.85645933014354
-10,0,35,41.5058502147398,0.3760406341971497,-54.320236363427576,6,19.85645933014354
-10,5,15,92.41005950530004,0.5660372619156865,-54.320236363427576,6,20.73365231259968
-10,5,20,48.8658597878801,0.4053289593220009,-54.320236363427576,5,21.5311004784689
-10,5,25,48.8658597878801,0.4053289593220009,-54.320236363427576,5,21.5311004784689
-10,5,30,48.8658597878801,0.4053289593220009,-54.320236363427576,5,21.5311004784689
-10,5,35,48.8658597878801,0.4053289593220009,-54.320236363427576,5,21.5311004784689
-10,10,15,14.253944266290187,0.24676564126230513,-61.013764085264114,4,23.843700159489632
-10,10,20,-11.227737153269812,0.10230560882740099,-61.013764085264114,3,24.641148325358852
