symbol,2021,2022,2023,2024,2025,avg,cumulative,positive
NVDA,93.82956517746001,-35.04551843577997,172.57969268551,31.24203089700004,32.848582060040044,59.09087047684602,498.34615623094965,4
TSLA,62.957380942830035,-44.34890491871999,136.2781117769601,60.24446420496004,47.06483225891,52.43917685298804,404.9671301406641,4
AAPL,31.72787791110001,-19.846162686379976,42.63426543948001,27.5148850898,17.26671562076001,19.85951627495201,125.19644467606898,4
GOOGL,-0.6908968526399661,-28.933793512079987,44.85062536015001,31.116956219160063,64.35599028474006,22.139776299866035,120.30125137719304,3
MSFT,44.62670753568998,-19.296227815480005,45.03122252118001,2.3930154163500195,12.01477635760002,16.953898803068007,94.15540758527243,4
AMZN,4.012015699440008,-38.99509925324999,61.04942789160004,33.69027551754,6.637835771040024,13.278891125274015,45.686250088121625,4
META,21.767748171120015,-51.49272487699997,84.90993455376004,20.88512124544002,7.758076313050033,16.76563108127403,42.272865567380876,4
