symbol,year,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,final_value
TSLA,2021,62.957380942830035,-14.286953076699982,2.204042712924315,1,100.0,162957.38094283003
TSLA,2022,-44.34890491871999,-60.32037490774946,-0.9700063361953087,1,0.0,55651.09508128001
TSLA,2023,136.2781117769601,-25.055395359065763,2.211978362667247,2,100.0,236278.11177696008
TSLA,2024,60.24446420496004,-32.78865183349609,1.221204501864111,1,100.0,160244.46420496004
TSLA,2025,47.06483225891,-19.547982667544115,1.0581475614654992,1,100.0,147064.83225891
NVDA,2021,93.82956517746001,-19.99015071489298,1.9597424628523923,1,100.0,193829.56517746003
NVDA,2022,-35.04551843577997,-49.58094087012409,-0.7158131843670112,1,0.0,64954.481564220034
NVDA,2023,172.57969268551,-8.697758949917969,3.0626942200778076,2,100.0,272579.69268551003
NVDA,2024,31.24203089700004,-12.653589141546274,1.1983445827455443,2,100.0,131242.03089700005
NVDA,2025,32.848582060040044,-26.877595215765915,1.0698670320463375,2,50.0,132848.58206004003
META,2021,21.767748171120015,-16.802857387147398,0.9432751171408067,1,100.0,121767.74817112002
META,2022,-51.49272487699997,-58.822243356899975,-1.4485781453616875,1,0.0,48507.27512300003
META,2023,84.90993455376004,-9.906658669661233,2.52512119168228,2,100.0,184909.93455376005
META,2024,20.88512124544002,-6.3142263618422705,1.3045798258485732,1,100.0,120885.12124544001
META,2025,7.758076313050033,-28.375969650908537,0.4041915513023973,1,100.0,107758.07631305004
AAPL,2021,31.72787791110001,-15.31106320529802,1.4864475316097385,1,100.0,131727.87791110002
AAPL,2022,-19.846162686379976,-23.794090024744765,-0.6688582280428556,1,0.0,80153.83731362002
AAPL,2023,42.63426543948001,-12.97233457021222,2.23848294043325,1,100.0,142634.26543948002
AAPL,2024,27.5148850898,-12.481036827575679,1.451759781468074,1,100.0,127514.88508980001
AAPL,2025,17.26671562076001,-24.6189058726926,0.775878606671345,1,100.0,117266.71562076002
MSFT,2021,44.62670753568998,-7.265499349222769,2.264172263917709,1,100.0,144626.70753569
MSFT,2022,-19.296227815480005,-26.14115345188428,-0.6614114471291552,1,0.0,80703.77218452
MSFT,2023,45.03122252118001,-11.281037426299253,1.9150230727207243,1,100.0,145031.22252118003
MSFT,2024,2.3930154163500195,-12.659202335511303,0.2546626464303718,1,100.0,102393.01541635001
MSFT,2025,12.01477635760002,-16.719057773275324,0.6970497681838309,1,100.0,112014.77635760003
GOOGL,2021,-0.6908968526399661,-3.5596324338179373,-0.08070955611656025,1,0.0,99309.10314736003
GOOGL,2022,-28.933793512079987,-35.34481205674092,-1.023079846720091,1,0.0,71066.20648792002
GOOGL,2023,44.85062536015001,-14.296302959826313,1.6120269740484534,1,100.0,144850.62536015
GOOGL,2024,31.116956219160063,-18.877102611771438,1.2978338289522193,1,100.0,131116.95621916006
GOOGL,2025,64.35599028474006,-13.423277040250708,2.188965034276761,1,100.0,164355.99028474005
AMZN,2021,4.012015699440008,-11.997016884669218,0.3096038723356051,1,100.0,104012.01569944
AMZN,2022,-38.99509925324999,-41.61864385388454,-1.1378953714233013,1,0.0,61004.90074675001
AMZN,2023,61.04942789160004,-16.497433359686433,1.8802711318584742,1,100.0,161049.42789160003
AMZN,2024,33.69027551754,-16.334185286828887,1.3939743170287997,1,100.0,133690.27551754
AMZN,2025,6.637835771040024,-17.064674377279967,0.3844574786750471,1,100.0,106637.83577104002
