symbol,initial,final,return_pct,trades,end_position
NVDA,100000,868130.8597100303,768.1308597100303,9,3743
TSLA,100000,392717.1110990001,292.7171110990001,7,771
AAPL,100000,341102.4938472401,241.10249384724008,6,0
MSFT,100000,261449.4583908502,161.4494583908502,9,426
GOOGL,100000,236368.46163789014,136.36846163789014,6,0
AMZN,100000,136918.97025474015,36.91897025474016,7,492
META,100000,114176.57973843011,14.176579738430117,9,147
